%--------------------------------------------------- 
% Timings: Tue Dec  4 22:08:59 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	2.24000e+02,	5.73440e+04,	3.30940e+04,	3.00800e+04,	0.00000e+00,	1.35163e+01,	4.88620e+00,	8.59632e+00,	1.70398e-03,	3.20809e-02
1.00000e+01,	2.24000e+02,	5.73440e+04,	3.30940e+04,	3.00800e+04,	4.41023e+01,	7.79631e+00,	5.68020e-02,	7.70300e+00,	1.71113e-03,	3.47891e-02
2.00000e+01,	2.24000e+02,	5.73440e+04,	3.30940e+04,	3.00800e+04,	4.35126e+01,	7.72101e+00,	5.88660e-02,	7.62758e+00,	1.70898e-03,	3.28460e-02
3.00000e+01,	2.24000e+02,	5.73440e+04,	3.30940e+04,	3.00800e+04,	4.35821e+01,	7.64714e+00,	6.04761e-02,	7.53909e+00,	1.69420e-03,	4.58729e-02
4.00000e+01,	2.24000e+02,	5.73440e+04,	3.30940e+04,	3.00840e+04,	4.35007e+01,	7.81503e+00,	6.02112e-02,	7.70099e+00,	1.70398e-03,	5.21140e-02
5.00000e+01,	2.24000e+02,	5.73440e+04,	3.30940e+04,	3.00850e+04,	4.35129e+01,	8.46820e+00,	5.98278e-02,	8.36845e+00,	1.70016e-03,	3.82252e-02
6.00000e+01,	2.24000e+02,	5.73440e+04,	3.30940e+04,	3.00870e+04,	4.36123e+01,	8.48475e+00,	6.00641e-02,	8.37637e+00,	1.70612e-03,	4.66080e-02
7.00000e+01,	2.24000e+02,	5.73440e+04,	3.30660e+04,	3.00810e+04,	4.49014e+01,	9.25911e+00,	6.08411e-02,	9.13713e+00,	1.72210e-03,	5.94149e-02
8.00000e+01,	2.24000e+02,	5.73440e+04,	3.30450e+04,	3.00640e+04,	4.42938e+01,	9.32335e+00,	6.08950e-02,	9.21232e+00,	1.70994e-03,	4.84271e-02
9.00000e+01,	2.24000e+02,	5.73440e+04,	3.30450e+04,	3.00760e+04,	4.37103e+01,	9.54158e+00,	6.06980e-02,	9.43748e+00,	2.94209e-03,	4.04530e-02
1.00000e+02,	2.24000e+02,	5.73440e+04,	3.30450e+04,	3.00760e+04,	4.41886e+01,	9.27826e+00,	5.97551e-02,	9.17091e+00,	1.70898e-03,	4.58851e-02
1.10000e+02,	2.24000e+02,	5.73440e+04,	3.30450e+04,	3.00760e+04,	4.42398e+01,	9.33631e+00,	6.01890e-02,	9.23611e+00,	1.71113e-03,	3.82919e-02
1.20000e+02,	2.24000e+02,	5.73440e+04,	3.30450e+04,	3.00770e+04,	4.43363e+01,	9.19427e+00,	5.98168e-02,	9.08313e+00,	1.70708e-03,	4.96101e-02
1.30000e+02,	2.24000e+02,	5.73440e+04,	3.30450e+04,	3.00770e+04,	4.42349e+01,	9.39682e+00,	6.01339e-02,	9.27776e+00,	1.72496e-03,	5.71921e-02
1.40000e+02,	2.24000e+02,	5.73440e+04,	3.30450e+04,	3.00800e+04,	4.44213e+01,	9.29883e+00,	6.01630e-02,	9.17691e+00,	1.69587e-03,	6.00610e-02
1.50000e+02,	2.24000e+02,	5.73440e+04,	3.30450e+04,	3.00820e+04,	4.46770e+01,	9.34977e+00,	6.01859e-02,	9.24074e+00,	1.70398e-03,	4.71411e-02
1.60000e+02,	2.24000e+02,	5.73440e+04,	3.30380e+04,	3.00790e+04,	4.51898e+01,	9.26816e+00,	6.05681e-02,	9.16554e+00,	1.71208e-03,	4.03349e-02
1.70000e+02,	2.24000e+02,	5.73440e+04,	3.30380e+04,	3.00810e+04,	4.50842e+01,	9.35468e+00,	6.06401e-02,	9.25614e+00,	1.70898e-03,	3.61938e-02
1.80000e+02,	2.24000e+02,	5.73440e+04,	3.30380e+04,	3.00850e+04,	4.55638e+01,	9.15151e+00,	5.98390e-02,	9.05459e+00,	1.70183e-03,	3.53811e-02
1.90000e+02,	2.24000e+02,	5.73440e+04,	3.30380e+04,	3.00870e+04,	4.57547e+01,	9.33992e+00,	5.99730e-02,	9.22840e+00,	1.71900e-03,	4.98209e-02
2.00000e+02,	2.24000e+02,	5.73440e+04,	3.30310e+04,	3.00930e+04,	4.80202e+01,	9.63871e+00,	5.09579e-01,	9.12582e+00,	1.70588e-03,	1.59597e-03
2.10000e+02,	2.24000e+02,	5.73440e+04,	3.30240e+04,	3.00870e+04,	5.02666e+01,	9.60152e+00,	5.98888e-02,	9.53826e+00,	1.70803e-03,	1.66202e-03
2.20000e+02,	2.24000e+02,	5.73440e+04,	3.30100e+04,	3.00740e+04,	5.00501e+01,	9.34568e+00,	5.95369e-02,	9.28288e+00,	1.70517e-03,	1.54805e-03
2.30000e+02,	2.24000e+02,	5.73440e+04,	3.30100e+04,	3.00760e+04,	4.98697e+01,	9.51240e+00,	5.97470e-02,	9.44941e+00,	1.69802e-03,	1.54710e-03
2.40000e+02,	2.24000e+02,	5.73440e+04,	3.30100e+04,	3.00760e+04,	5.01430e+01,	9.46548e+00,	6.02858e-02,	9.40194e+00,	1.69587e-03,	1.55711e-03
2.50000e+02,	2.24000e+02,	5.73440e+04,	3.30100e+04,	3.00840e+04,	5.05369e+01,	9.34473e+00,	6.01411e-02,	9.28133e+00,	1.70088e-03,	1.56593e-03
2.60000e+02,	2.24000e+02,	5.73440e+04,	3.29960e+04,	3.00700e+04,	5.09878e+01,	9.24614e+00,	6.00679e-02,	9.18286e+00,	1.70493e-03,	1.50394e-03
2.70000e+02,	2.24000e+02,	5.73440e+04,	3.29750e+04,	3.00690e+04,	5.10359e+01,	9.44947e+00,	6.19659e-02,	9.38429e+00,	1.70898e-03,	1.50704e-03
2.80000e+02,	2.24000e+02,	5.73440e+04,	3.29750e+04,	3.00690e+04,	5.01330e+01,	9.17219e+00,	6.00159e-02,	9.10896e+00,	1.71685e-03,	1.49202e-03
2.90000e+02,	2.24000e+02,	5.73440e+04,	3.29750e+04,	3.00690e+04,	5.02945e+01,	9.23695e+00,	6.00779e-02,	9.17368e+00,	1.71804e-03,	1.47510e-03
3.00000e+02,	2.24000e+02,	5.73440e+04,	3.29540e+04,	3.00490e+04,	5.14711e+01,	9.48516e+00,	6.13430e-02,	9.42059e+00,	1.71494e-03,	1.51491e-03
3.10000e+02,	2.24000e+02,	5.73440e+04,	3.29680e+04,	3.00690e+04,	5.07348e+01,	9.33668e+00,	6.05052e-02,	9.27298e+00,	1.71804e-03,	1.46699e-03
3.20000e+02,	2.24000e+02,	5.73440e+04,	3.29470e+04,	3.00500e+04,	5.13478e+01,	9.46877e+00,	6.01571e-02,	9.40542e+00,	1.71614e-03,	1.47700e-03
3.30000e+02,	2.24000e+02,	5.73440e+04,	3.29120e+04,	3.00270e+04,	5.17613e+01,	9.59629e+00,	6.04379e-02,	9.53269e+00,	1.69897e-03,	1.45507e-03
3.40000e+02,	2.24000e+02,	5.73440e+04,	3.29120e+04,	3.00270e+04,	5.10839e+01,	9.45862e+00,	6.05130e-02,	9.39499e+00,	1.70302e-03,	1.40810e-03
3.50000e+02,	2.24000e+02,	5.73440e+04,	3.28910e+04,	3.00060e+04,	5.09102e+01,	9.13187e+00,	6.08661e-02,	9.05773e+00,	9.62186e-03,	1.43194e-03
3.60000e+02,	2.24000e+02,	5.73440e+04,	3.28700e+04,	2.99850e+04,	5.13465e+01,	9.36198e+00,	6.02720e-02,	9.29859e+00,	1.70398e-03,	1.40119e-03
