%--------------------------------------------------- 
% Timings: Sat Dec  8 18:16:09 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07712e+05,	0.00000e+00,	1.89538e+01,	7.11017e+00,	1.18334e+01,	1.70994e-03,	8.51393e-03
1.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07725e+05,	1.24256e+01,	3.39618e+01,	9.87022e-01,	1.40420e+01,	1.71614e-03,	1.89310e+01
2.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07725e+05,	1.23509e+01,	3.63688e+01,	1.00126e+00,	1.69782e+01,	1.72806e-03,	1.83876e+01
3.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07727e+05,	1.24869e+01,	3.49958e+01,	1.01194e+00,	1.62880e+01,	1.73497e-03,	1.76941e+01
4.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07727e+05,	1.24539e+01,	3.48344e+01,	1.00903e+00,	1.62081e+01,	1.73116e-03,	1.76155e+01
5.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07727e+05,	1.24941e+01,	3.54293e+01,	1.01269e+00,	1.62819e+01,	1.71709e-03,	1.81330e+01
6.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07730e+05,	1.25932e+01,	3.41155e+01,	1.01649e+00,	1.56106e+01,	1.20339e-02,	1.74763e+01
7.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07730e+05,	1.26523e+01,	3.28227e+01,	1.01599e+00,	1.48950e+01,	1.71685e-03,	1.69099e+01
8.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07732e+05,	1.25536e+01,	3.37279e+01,	1.02727e+00,	1.56230e+01,	1.71208e-03,	1.70759e+01
9.00000e+01,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07739e+05,	1.26518e+01,	3.37724e+01,	1.02194e+00,	1.60044e+01,	1.72400e-03,	1.67443e+01
1.00000e+02,	7.93600e+03,	7.93600e+05,	2.18510e+05,	2.07739e+05,	1.27600e+01,	3.43093e+01,	1.01843e+00,	1.65424e+01,	1.72687e-03,	1.67467e+01
