%--------------------------------------------------- 
% Timings: Thu Dec 13 00:21:43 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	2.49600e+03,	1.74720e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	2.15562e+01,	5.38167e+00,	1.51772e+01,	2.02513e-03,	9.95286e-01
1.00000e+01,	2.49600e+03,	1.74720e+06,	1.49887e+06,	1.44658e+06,	1.93648e+02,	1.61744e+01,	3.36418e-02,	1.51553e+01,	1.78885e-03,	9.83667e-01
2.00000e+01,	2.49600e+03,	1.74720e+06,	1.49887e+06,	1.44658e+06,	1.90639e+02,	1.61607e+01,	3.62639e-02,	1.51469e+01,	1.78289e-03,	9.75754e-01
3.00000e+01,	2.49600e+03,	1.74720e+06,	1.49882e+06,	1.44655e+06,	1.92107e+02,	1.59116e+01,	3.83480e-02,	1.48944e+01,	1.78695e-03,	9.76989e-01
4.00000e+01,	2.49600e+03,	1.74720e+06,	1.49882e+06,	1.44657e+06,	1.89986e+02,	1.60843e+01,	3.81610e-02,	1.50484e+01,	1.78409e-03,	9.95967e-01
5.00000e+01,	2.49600e+03,	1.74720e+06,	1.49883e+06,	1.44658e+06,	1.91234e+02,	1.61216e+01,	3.87590e-02,	1.50900e+01,	1.79100e-03,	9.91017e-01
6.00000e+01,	2.49600e+03,	1.74720e+06,	1.49877e+06,	1.44653e+06,	1.91941e+02,	1.61654e+01,	3.88539e-02,	1.51378e+01,	1.80697e-03,	9.86964e-01
7.00000e+01,	2.49600e+03,	1.74720e+06,	1.49877e+06,	1.44655e+06,	1.89772e+02,	1.59597e+01,	3.63319e-02,	1.49388e+01,	2.32506e-03,	9.82304e-01
8.00000e+01,	2.49600e+03,	1.74720e+06,	1.49877e+06,	1.44656e+06,	1.89934e+02,	1.59948e+01,	3.71830e-02,	1.49897e+01,	1.78504e-03,	9.66129e-01
9.00000e+01,	2.49600e+03,	1.74720e+06,	1.49877e+06,	1.44656e+06,	1.90175e+02,	1.65581e+01,	3.78232e-02,	1.55303e+01,	1.75691e-03,	9.88210e-01
1.00000e+02,	2.49600e+03,	1.74720e+06,	1.49877e+06,	1.44656e+06,	1.90038e+02,	1.63878e+01,	3.59571e-02,	1.53673e+01,	2.59089e-03,	9.81963e-01
1.10000e+02,	2.49600e+03,	1.74720e+06,	1.49877e+06,	1.44656e+06,	1.90051e+02,	1.62058e+01,	3.60370e-02,	1.51765e+01,	1.86086e-03,	9.91381e-01
1.20000e+02,	2.49600e+03,	1.74720e+06,	1.49877e+06,	1.44657e+06,	1.90401e+02,	1.61158e+01,	3.60379e-02,	1.51050e+01,	1.78599e-03,	9.72963e-01
1.30000e+02,	2.49600e+03,	1.74720e+06,	1.49877e+06,	1.44658e+06,	1.90216e+02,	1.63547e+01,	3.66430e-02,	1.53392e+01,	1.78218e-03,	9.77021e-01
1.40000e+02,	2.49600e+03,	1.74720e+06,	1.49876e+06,	1.44657e+06,	1.91389e+02,	1.62218e+01,	3.70140e-02,	1.52087e+01,	2.02298e-03,	9.74035e-01
1.50000e+02,	2.49600e+03,	1.74720e+06,	1.49876e+06,	1.44658e+06,	1.90246e+02,	1.60143e+01,	3.78971e-02,	1.49987e+01,	1.79291e-03,	9.75821e-01
1.60000e+02,	2.49600e+03,	1.74720e+06,	1.49876e+06,	1.44659e+06,	1.90057e+02,	1.63184e+01,	3.77040e-02,	1.52868e+01,	1.79005e-03,	9.92028e-01
1.70000e+02,	2.49600e+03,	1.74720e+06,	1.49845e+06,	1.44636e+06,	1.97706e+02,	1.61827e+01,	5.09531e-02,	1.51345e+01,	2.06184e-03,	9.95209e-01
1.80000e+02,	2.49600e+03,	1.74720e+06,	1.49843e+06,	1.44634e+06,	1.93517e+02,	1.62392e+01,	3.73359e-02,	1.52239e+01,	1.79195e-03,	9.76222e-01
1.90000e+02,	2.49600e+03,	1.74720e+06,	1.49843e+06,	1.44635e+06,	1.89496e+02,	1.62076e+01,	3.64411e-02,	1.51724e+01,	2.11191e-03,	9.96668e-01
2.00000e+02,	2.49600e+03,	1.74720e+06,	1.49843e+06,	1.44635e+06,	1.89427e+02,	1.64551e+01,	3.73352e-02,	1.53980e+01,	1.78981e-03,	1.01802e+00
2.10000e+02,	2.49600e+03,	1.74720e+06,	1.49843e+06,	1.44635e+06,	1.89644e+02,	1.63950e+01,	3.62780e-02,	1.53847e+01,	1.78003e-03,	9.72220e-01
2.20000e+02,	2.49600e+03,	1.74720e+06,	1.49830e+06,	1.44622e+06,	1.92825e+02,	1.64782e+01,	4.10841e-02,	1.54525e+01,	1.79791e-03,	9.82844e-01
2.30000e+02,	2.49600e+03,	1.74720e+06,	1.49826e+06,	1.44620e+06,	1.94511e+02,	1.62351e+01,	3.67789e-02,	1.52230e+01,	1.78909e-03,	9.73609e-01
2.40000e+02,	2.49600e+03,	1.74720e+06,	1.49825e+06,	1.44620e+06,	1.90849e+02,	1.62667e+01,	3.69298e-02,	1.52438e+01,	1.90687e-03,	9.84099e-01
2.50000e+02,	2.49600e+03,	1.74720e+06,	1.49825e+06,	1.44620e+06,	1.89466e+02,	1.61117e+01,	3.77500e-02,	1.51041e+01,	1.78909e-03,	9.68085e-01
2.60000e+02,	2.49600e+03,	1.74720e+06,	1.49825e+06,	1.44621e+06,	1.89508e+02,	1.60157e+01,	3.76379e-02,	1.49921e+01,	2.38991e-03,	9.83576e-01
2.70000e+02,	2.49600e+03,	1.74720e+06,	1.49825e+06,	1.44621e+06,	1.89761e+02,	1.63197e+01,	3.89371e-02,	1.52959e+01,	1.79386e-03,	9.83077e-01
2.80000e+02,	2.49600e+03,	1.74720e+06,	1.49825e+06,	1.44621e+06,	1.89389e+02,	1.60089e+01,	3.92280e-02,	1.49639e+01,	1.79696e-03,	1.00405e+00
2.90000e+02,	2.49600e+03,	1.74720e+06,	1.49825e+06,	1.44622e+06,	1.89550e+02,	1.61965e+01,	3.79031e-02,	1.51976e+01,	1.78099e-03,	9.59201e-01
3.00000e+02,	2.49600e+03,	1.74720e+06,	1.49825e+06,	1.44622e+06,	1.89803e+02,	1.60684e+01,	3.83511e-02,	1.50506e+01,	1.78504e-03,	9.77707e-01
3.10000e+02,	2.49600e+03,	1.74720e+06,	1.49825e+06,	1.44622e+06,	1.89552e+02,	1.61792e+01,	3.68650e-02,	1.51867e+01,	1.82581e-03,	9.53753e-01
3.20000e+02,	2.49600e+03,	1.74720e+06,	1.49825e+06,	1.44623e+06,	1.89641e+02,	1.63141e+01,	4.20740e-02,	1.52773e+01,	1.83797e-03,	9.92932e-01
3.30000e+02,	2.49600e+03,	1.74720e+06,	1.49825e+06,	1.44623e+06,	1.90036e+02,	1.60747e+01,	3.83830e-02,	1.50853e+01,	2.04587e-03,	9.48915e-01
3.40000e+02,	2.49600e+03,	1.74720e+06,	1.49825e+06,	1.44624e+06,	1.90072e+02,	1.63396e+01,	3.81382e-02,	1.53316e+01,	1.78194e-03,	9.68028e-01
3.50000e+02,	2.49600e+03,	1.74720e+06,	1.49825e+06,	1.44624e+06,	1.90284e+02,	1.60656e+01,	3.82240e-02,	1.50401e+01,	1.89519e-03,	9.85378e-01
3.60000e+02,	2.49600e+03,	1.74720e+06,	1.49825e+06,	1.44625e+06,	1.90823e+02,	1.61068e+01,	3.82452e-02,	1.50849e+01,	1.78695e-03,	9.81846e-01
3.70000e+02,	2.49600e+03,	1.74720e+06,	1.49826e+06,	1.44626e+06,	1.91995e+02,	1.63004e+01,	3.96631e-02,	1.52664e+01,	1.79696e-03,	9.92537e-01
3.80000e+02,	2.49600e+03,	1.74720e+06,	1.49824e+06,	1.44625e+06,	1.93584e+02,	1.61201e+01,	3.73268e-02,	1.50937e+01,	1.77789e-03,	9.87293e-01
3.90000e+02,	2.49600e+03,	1.74720e+06,	1.49826e+06,	1.44627e+06,	1.92728e+02,	1.61670e+01,	3.86770e-02,	1.51556e+01,	1.82199e-03,	9.70957e-01
4.00000e+02,	2.49600e+03,	1.74720e+06,	1.49826e+06,	1.44628e+06,	1.95395e+02,	1.57968e+01,	4.23560e-02,	1.47874e+01,	1.77693e-03,	9.65263e-01
4.10000e+02,	2.49600e+03,	1.74720e+06,	1.49828e+06,	1.44630e+06,	1.95867e+02,	1.62766e+01,	4.47290e-02,	1.52876e+01,	1.83296e-03,	9.42371e-01
4.20000e+02,	2.49600e+03,	1.74720e+06,	1.49827e+06,	1.44630e+06,	1.96574e+02,	1.63699e+01,	3.88689e-02,	1.53536e+01,	1.78409e-03,	9.75732e-01
4.30000e+02,	2.49600e+03,	1.74720e+06,	1.49825e+06,	1.44630e+06,	1.94401e+02,	1.62851e+01,	3.84331e-02,	1.52803e+01,	1.79601e-03,	9.64614e-01
4.40000e+02,	2.49600e+03,	1.74720e+06,	1.49824e+06,	1.44628e+06,	1.96088e+02,	1.58986e+01,	3.83670e-02,	1.49024e+01,	1.79195e-03,	9.56067e-01
4.50000e+02,	2.49600e+03,	1.74720e+06,	1.49826e+06,	1.44632e+06,	2.09041e+02,	1.62731e+01,	5.23155e-01,	1.51646e+01,	1.78814e-03,	5.83556e-01
4.60000e+02,	2.49600e+03,	1.74720e+06,	1.49826e+06,	1.44633e+06,	2.03218e+02,	1.57977e+01,	3.89879e-02,	1.53159e+01,	1.78099e-03,	4.41081e-01
4.70000e+02,	2.49600e+03,	1.74720e+06,	1.49819e+06,	1.44627e+06,	2.05486e+02,	1.56200e+01,	3.68230e-02,	1.51222e+01,	1.79696e-03,	4.59223e-01
4.80000e+02,	2.49600e+03,	1.74720e+06,	1.49816e+06,	1.44624e+06,	2.05874e+02,	1.55047e+01,	4.04890e-02,	1.50393e+01,	2.44713e-03,	4.22548e-01
4.90000e+02,	2.49600e+03,	1.74720e+06,	1.49817e+06,	1.44626e+06,	2.06877e+02,	1.54790e+01,	3.76470e-02,	1.49925e+01,	1.79505e-03,	4.47022e-01
5.00000e+02,	2.49600e+03,	1.74720e+06,	1.49812e+06,	1.44621e+06,	2.07539e+02,	1.55744e+01,	3.81401e-02,	1.51296e+01,	1.77717e-03,	4.04837e-01
