%  ./pipe-7-04096   ./pipe-7-04096/extracted_timings-e04.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  190.08031934 ,  186.302443 ,  205.846795 ,  5.35103804516173 
% PVSPY_VIZ_TIMINGS ,  19.25109184 ,  18.653207 ,  19.66982 ,  0.22333238055888 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,188.217883,19.286435
20,187.518207,19.281978
30,188.983909,19.035762
40,186.866343,19.205225
50,188.112185,19.244726
60,188.83083,19.276812
70,186.658207,19.074724
80,186.82382,19.106118
90,187.063636,19.66982
100,186.924554,19.502413
110,186.936033,19.321923
120,187.296611,19.221405
130,187.111324,19.460231
140,188.27702,19.334892
150,187.134738,19.12631
160,186.948106,19.427814
170,194.614426,19.274946
180,190.400913,19.356359
190,186.40652,19.299189
200,186.335687,19.547572
210,186.523834,19.51596
220,189.714386,19.590015
230,191.396733,19.350647
240,187.752178,19.364189
250,186.347671,19.230922
260,186.397787,19.127321
270,186.649858,19.431698
280,186.302443,19.096789
290,186.425049,19.322237
300,186.690402,19.182192
310,186.434563,19.297814
320,186.540829,19.415585
330,186.913343,19.198491
340,186.949867,19.462898
350,187.173701,19.177747
360,187.711492,19.219413
370,188.884356,19.412656
380,190.463166,19.241602
390,189.603201,19.292367
400,192.283824,18.909511
410,192.744137,19.401069
420,193.45592,19.489163
430,191.298133,19.388977
440,192.971019,19.016705
450,205.846795,19.46871
460,200.030366,18.986754
470,202.32041,18.787047
480,202.673184,18.706825
490,203.7036,18.653207
500,204.352768,18.761427
