%--------------------------------------------------- 
% Timings: Wed Dec  5 21:35:26 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	6.59200e+03,	1.68755e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.66390e+01,	4.96692e+00,	1.15049e+01,	1.88088e-03,	1.65260e-01
1.00000e+01,	6.59200e+03,	1.68755e+06,	1.49887e+06,	1.44658e+06,	8.09456e+01,	2.41652e+01,	7.08022e-02,	1.15215e+01,	1.74308e-03,	1.25712e+01
2.00000e+01,	6.59200e+03,	1.68755e+06,	1.49887e+06,	1.44658e+06,	7.98206e+01,	2.37742e+01,	7.21450e-02,	1.16029e+01,	1.74809e-03,	1.20973e+01
3.00000e+01,	6.59200e+03,	1.68755e+06,	1.49882e+06,	1.44655e+06,	8.07193e+01,	1.99440e+01,	7.54008e-02,	1.16167e+01,	4.21000e-03,	8.24764e+00
4.00000e+01,	6.59200e+03,	1.68755e+06,	1.49882e+06,	1.44657e+06,	7.97445e+01,	1.72630e+01,	7.60539e-02,	1.16431e+01,	1.93715e-03,	5.54198e+00
5.00000e+01,	6.59200e+03,	1.68755e+06,	1.49883e+06,	1.44658e+06,	8.04983e+01,	1.57294e+01,	7.40230e-02,	1.14219e+01,	1.74689e-03,	4.23171e+00
6.00000e+01,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44653e+06,	8.12074e+01,	1.18499e+01,	7.43620e-02,	1.16240e+01,	2.41280e-03,	1.49114e-01
7.00000e+01,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44655e+06,	7.98918e+01,	1.53496e+01,	7.37610e-02,	1.13446e+01,	1.73998e-03,	3.92950e+00
8.00000e+01,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44656e+06,	7.98781e+01,	1.51248e+01,	7.33962e-02,	1.15035e+01,	1.76501e-03,	3.54618e+00
9.00000e+01,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44656e+06,	8.00699e+01,	1.50422e+01,	7.29771e-02,	1.14563e+01,	1.74880e-03,	3.51118e+00
1.00000e+02,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44656e+06,	8.00363e+01,	1.53657e+01,	7.25009e-02,	1.15138e+01,	2.53701e-03,	3.77687e+00
1.10000e+02,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44656e+06,	7.99751e+01,	1.51137e+01,	7.31251e-02,	1.14492e+01,	1.75118e-03,	3.58960e+00
1.20000e+02,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44657e+06,	8.01444e+01,	1.48060e+01,	7.26480e-02,	1.16327e+01,	1.74284e-03,	3.09893e+00
1.30000e+02,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44658e+06,	8.00563e+01,	1.56710e+01,	7.26931e-02,	1.15542e+01,	1.73616e-03,	4.04238e+00
1.40000e+02,	6.59200e+03,	1.68755e+06,	1.49876e+06,	1.44657e+06,	8.05337e+01,	1.41685e+01,	7.37760e-02,	1.14073e+01,	9.41110e-03,	2.67799e+00
1.50000e+02,	6.59200e+03,	1.68755e+06,	1.49876e+06,	1.44658e+06,	8.02164e+01,	1.44981e+01,	7.22139e-02,	1.16155e+01,	1.77598e-03,	2.80864e+00
1.60000e+02,	6.59200e+03,	1.68755e+06,	1.49876e+06,	1.44659e+06,	8.00666e+01,	1.41959e+01,	7.22990e-02,	1.15622e+01,	1.75619e-03,	2.55968e+00
1.70000e+02,	6.59200e+03,	1.68755e+06,	1.49845e+06,	1.44636e+06,	8.35521e+01,	1.19373e+01,	9.11498e-02,	1.17045e+01,	1.75285e-03,	1.39922e-01
1.80000e+02,	6.59200e+03,	1.68755e+06,	1.49843e+06,	1.44634e+06,	8.23745e+01,	1.20635e+01,	7.23150e-02,	1.15825e+01,	1.76787e-03,	4.06891e-01
1.90000e+02,	6.59200e+03,	1.68755e+06,	1.49843e+06,	1.44635e+06,	8.05595e+01,	1.54473e+01,	7.44231e-02,	1.14900e+01,	1.74809e-03,	3.88117e+00
2.00000e+02,	6.59200e+03,	1.68755e+06,	1.49843e+06,	1.44635e+06,	8.04803e+01,	1.42428e+01,	7.53551e-02,	1.16366e+01,	1.75095e-03,	2.52909e+00
2.10000e+02,	6.59200e+03,	1.68755e+06,	1.49843e+06,	1.44635e+06,	8.07353e+01,	1.38897e+01,	7.38339e-02,	1.15739e+01,	1.74999e-03,	2.24021e+00
2.20000e+02,	6.59200e+03,	1.68755e+06,	1.49829e+06,	1.44621e+06,	8.25326e+01,	1.18258e+01,	8.05051e-02,	1.15927e+01,	1.74403e-03,	1.50844e-01
2.30000e+02,	6.59200e+03,	1.68755e+06,	1.49825e+06,	1.44620e+06,	8.26956e+01,	1.18825e+01,	7.23429e-02,	1.16725e+01,	1.75190e-03,	1.35879e-01
2.40000e+02,	6.59200e+03,	1.68755e+06,	1.49825e+06,	1.44620e+06,	8.07319e+01,	1.22223e+01,	7.25870e-02,	1.15123e+01,	1.77693e-03,	6.35658e-01
2.50000e+02,	6.59200e+03,	1.68755e+06,	1.49825e+06,	1.44620e+06,	8.06057e+01,	1.19454e+01,	7.30150e-02,	1.17518e+01,	1.74618e-03,	1.18851e-01
2.60000e+02,	6.59200e+03,	1.68755e+06,	1.49825e+06,	1.44621e+06,	8.07526e+01,	1.18696e+01,	7.25989e-02,	1.16339e+01,	1.78790e-03,	1.61280e-01
2.70000e+02,	6.59200e+03,	1.68755e+06,	1.49825e+06,	1.44621e+06,	8.10276e+01,	1.16920e+01,	7.23751e-02,	1.14429e+01,	1.74594e-03,	1.74982e-01
2.80000e+02,	6.59200e+03,	1.68755e+06,	1.49825e+06,	1.44622e+06,	8.10738e+01,	1.15926e+01,	7.25000e-02,	1.13977e+01,	1.75500e-03,	1.20731e-01
2.90000e+02,	6.59200e+03,	1.68755e+06,	1.49825e+06,	1.44622e+06,	8.12789e+01,	1.17051e+01,	7.27410e-02,	1.15003e+01,	1.73402e-03,	1.30368e-01
3.00000e+02,	6.59200e+03,	1.68755e+06,	1.49825e+06,	1.44622e+06,	8.15948e+01,	1.16827e+01,	7.24399e-02,	1.14807e+01,	1.75881e-03,	1.27887e-01
3.10000e+02,	6.59200e+03,	1.68755e+06,	1.49825e+06,	1.44622e+06,	8.15288e+01,	1.15651e+01,	7.25260e-02,	1.13467e+01,	1.74284e-03,	1.44129e-01
3.20000e+02,	6.59200e+03,	1.68755e+06,	1.49825e+06,	1.44623e+06,	8.16425e+01,	1.19925e+01,	7.24812e-02,	1.17439e+01,	1.77503e-03,	1.74406e-01
3.30000e+02,	6.59200e+03,	1.68755e+06,	1.49825e+06,	1.44623e+06,	8.20614e+01,	1.18739e+01,	7.26881e-02,	1.16546e+01,	1.75405e-03,	1.44835e-01
