%--------------------------------------------------- 
% Timings: Mon Jan  7 22:41:43 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	6.59200e+03,	1.68755e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.92491e+01,	4.37043e+00,	1.47230e+01,	1.74809e-03,	1.53926e-01
1.00000e+01,	6.59200e+03,	1.68755e+06,	1.49887e+06,	1.44658e+06,	8.08289e+01,	2.99316e+01,	3.71492e-02,	1.32250e+01,	1.75905e-03,	1.66677e+01
2.00000e+01,	6.59200e+03,	1.68755e+06,	1.49887e+06,	1.44658e+06,	7.95882e+01,	2.82612e+01,	3.81782e-02,	1.34805e+01,	1.76501e-03,	1.47407e+01
3.00000e+01,	6.59200e+03,	1.68755e+06,	1.49882e+06,	1.44655e+06,	8.03931e+01,	2.72711e+01,	3.83971e-02,	1.40566e+01,	1.74594e-03,	1.31744e+01
4.00000e+01,	6.59200e+03,	1.68755e+06,	1.49882e+06,	1.44657e+06,	7.95172e+01,	2.54638e+01,	3.82938e-02,	1.44135e+01,	1.75595e-03,	1.10103e+01
5.00000e+01,	6.59200e+03,	1.68755e+06,	1.49883e+06,	1.44658e+06,	8.03294e+01,	2.25100e+01,	3.84970e-02,	1.43403e+01,	1.75118e-03,	8.12952e+00
6.00000e+01,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44653e+06,	8.07676e+01,	1.57752e+01,	3.82340e-02,	1.37767e+01,	1.74999e-03,	1.95847e+00
7.00000e+01,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44655e+06,	7.96324e+01,	2.29307e+01,	3.84681e-02,	1.38307e+01,	1.77002e-03,	9.05984e+00
8.00000e+01,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44656e+06,	7.96623e+01,	2.28711e+01,	3.79181e-02,	1.32639e+01,	2.47598e-03,	9.56675e+00
9.00000e+01,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44656e+06,	7.98288e+01,	2.08864e+01,	3.82621e-02,	1.36983e+01,	1.75500e-03,	7.14812e+00
1.00000e+02,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44656e+06,	7.97582e+01,	2.29814e+01,	3.85978e-02,	1.37832e+01,	1.77193e-03,	9.15776e+00
1.10000e+02,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44656e+06,	7.97881e+01,	2.34585e+01,	3.80149e-02,	1.45129e+01,	1.75810e-03,	8.90587e+00
1.20000e+02,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44657e+06,	7.99370e+01,	2.14265e+01,	3.78249e-02,	1.31716e+01,	1.75095e-03,	8.21534e+00
1.30000e+02,	6.59200e+03,	1.68755e+06,	1.49877e+06,	1.44658e+06,	7.98516e+01,	2.53209e+01,	3.85950e-02,	1.46662e+01,	1.75190e-03,	1.06144e+01
1.40000e+02,	6.59200e+03,	1.68755e+06,	1.49876e+06,	1.44657e+06,	8.03663e+01,	2.13288e+01,	3.78811e-02,	1.39307e+01,	1.75405e-03,	7.35844e+00
1.50000e+02,	6.59200e+03,	1.68755e+06,	1.49876e+06,	1.44658e+06,	7.99531e+01,	2.25949e+01,	3.80709e-02,	1.29519e+01,	1.95289e-03,	9.60298e+00
1.60000e+02,	6.59200e+03,	1.68755e+06,	1.49876e+06,	1.44659e+06,	7.98759e+01,	2.10996e+01,	3.83539e-02,	1.35519e+01,	2.46000e-03,	7.50691e+00
