%  amr_in-transit-inclusive/pipe-7-08192   amr_in-transit-inclusive/pipe-7-08192/extracted_timings-e701627.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  81.14644092 ,  77.805194 ,  90.715827 ,  4.07599921821734 
% PVSPY_VIZ_TIMINGS ,  21.13135672 ,  14.594159 ,  31.635449 ,  3.98666634351707 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,78.131796,31.635449
20,77.889627,29.960956
30,78.690879,28.974141
40,77.805194,27.176633
50,78.610096,24.230159
60,79.045098,17.498774
70,77.917498,24.646667
80,77.940652,24.593828
90,78.132684,22.584034
100,78.041303,24.699265
110,78.077095,25.170638
120,78.217801,23.147011
130,78.142975,27.030888
140,78.649689,23.0467
150,78.241938,24.307219
160,78.170903,22.805871
170,81.452217,20.074602
180,80.217413,20.398637
190,78.391831,23.325561
200,78.441647,25.211566
210,78.492653,22.763712
220,80.430303,21.09007
230,80.433963,18.994493
240,78.3701,20.142881
250,78.440158,22.074011
260,78.704327,19.348132
270,78.986147,21.556846
280,79.039191,19.408623
290,79.137356,20.256376
300,79.322763,19.437466
310,79.368143,19.895073
320,79.725702,20.698367
330,79.924147,17.981868
340,80.028564,20.039076
350,80.184524,18.361981
360,80.448386,17.408017
370,80.959664,17.92803
380,81.364425,17.218248
390,80.923419,18.515004
400,89.558696,16.330362
410,89.195924,15.841253
420,86.690705,23.455732
430,85.739462,24.164866
440,88.53814,18.365009
450,88.830384,17.613611
460,87.211337,16.122969
470,90.715827,14.594159
480,89.617105,15.844181
490,88.167601,15.674918
500,88.564594,14.923903
