%--------------------------------------------------- 
% Timings: Mon Dec 10 15:06:18 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	1.47840e+04,	1.89235e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.94208e+01,	6.82473e+00,	1.25942e+01,	1.72400e-03,	1.63794e-04
1.00000e+01,	1.47840e+04,	1.89235e+06,	1.49887e+06,	1.44658e+06,	4.05782e+01,	7.48616e+01,	3.00692e-01,	1.29283e+01,	1.73283e-03,	6.16308e+01
2.00000e+01,	1.47840e+04,	1.89235e+06,	1.49887e+06,	1.44658e+06,	4.02629e+01,	7.43088e+01,	3.09818e-01,	1.31109e+01,	1.73402e-03,	6.08863e+01
3.00000e+01,	1.47840e+04,	1.89235e+06,	1.49882e+06,	1.44655e+06,	4.09545e+01,	6.81602e+01,	3.12001e-01,	1.30439e+01,	1.72400e-03,	5.48025e+01
4.00000e+01,	1.47840e+04,	1.89235e+06,	1.49882e+06,	1.44657e+06,	4.09374e+01,	6.39831e+01,	3.13498e-01,	1.30455e+01,	1.72281e-03,	5.06223e+01
5.00000e+01,	1.47840e+04,	1.89235e+06,	1.49883e+06,	1.44658e+06,	4.09224e+01,	6.05542e+01,	3.25770e-01,	1.30224e+01,	1.88112e-03,	4.72042e+01
6.00000e+01,	1.47840e+04,	1.89235e+06,	1.49877e+06,	1.44653e+06,	4.15886e+01,	4.95463e+01,	3.20649e-01,	1.29550e+01,	1.73211e-03,	3.62689e+01
7.00000e+01,	1.47840e+04,	1.89235e+06,	1.49877e+06,	1.44655e+06,	4.04855e+01,	5.99388e+01,	3.24041e-01,	1.30448e+01,	1.72400e-03,	4.65682e+01
8.00000e+01,	1.47840e+04,	1.89235e+06,	1.49877e+06,	1.44656e+06,	4.06610e+01,	6.01445e+01,	3.20591e-01,	1.28982e+01,	1.72687e-03,	4.69240e+01
9.00000e+01,	1.47840e+04,	1.89235e+06,	1.49877e+06,	1.44656e+06,	4.08277e+01,	5.91249e+01,	3.16740e-01,	1.30179e+01,	2.20513e-03,	4.57881e+01
1.00000e+02,	1.47840e+04,	1.89235e+06,	1.49877e+06,	1.44656e+06,	4.07956e+01,	5.99854e+01,	3.33310e-01,	1.28428e+01,	1.73688e-03,	4.68075e+01
1.10000e+02,	1.47840e+04,	1.89235e+06,	1.49877e+06,	1.44656e+06,	4.06646e+01,	5.93888e+01,	3.24456e-01,	1.30905e+01,	1.75381e-03,	4.59720e+01
1.20000e+02,	1.47840e+04,	1.89235e+06,	1.49877e+06,	1.44657e+06,	4.25719e+01,	5.79589e+01,	3.21198e-01,	1.33599e+01,	1.72806e-03,	4.42761e+01
1.30000e+02,	1.47840e+04,	1.89235e+06,	1.49877e+06,	1.44658e+06,	4.09626e+01,	5.98644e+01,	3.23717e-01,	1.30328e+01,	1.72997e-03,	4.65062e+01
1.40000e+02,	1.47840e+04,	1.89235e+06,	1.49876e+06,	1.44657e+06,	4.10422e+01,	6.08850e+01,	3.18090e-01,	1.28041e+01,	1.72496e-03,	4.77611e+01
1.50000e+02,	1.47840e+04,	1.89235e+06,	1.49876e+06,	1.44658e+06,	4.08178e+01,	6.01686e+01,	3.24373e-01,	1.28316e+01,	1.74284e-03,	4.70109e+01
1.60000e+02,	1.47840e+04,	1.89235e+06,	1.49876e+06,	1.44659e+06,	4.09132e+01,	5.84870e+01,	3.22037e-01,	1.30073e+01,	1.73998e-03,	4.51559e+01
1.70000e+02,	1.47840e+04,	1.89235e+06,	1.49845e+06,	1.44636e+06,	4.23561e+01,	5.67118e+01,	3.36574e-01,	1.30693e+01,	1.98698e-03,	4.33040e+01
1.80000e+02,	1.47840e+04,	1.89235e+06,	1.49843e+06,	1.44634e+06,	4.14293e+01,	6.09336e+01,	3.21663e-01,	1.30626e+01,	1.74999e-03,	4.75476e+01
1.90000e+02,	1.47840e+04,	1.89235e+06,	1.49843e+06,	1.44635e+06,	4.03053e+01,	6.05070e+01,	3.21867e-01,	1.30176e+01,	1.72997e-03,	4.71658e+01
2.00000e+02,	1.47840e+04,	1.89235e+06,	1.49843e+06,	1.44635e+06,	4.12915e+01,	5.97392e+01,	3.40175e-01,	1.34557e+01,	2.10285e-03,	4.59413e+01
2.10000e+02,	1.47840e+04,	1.89235e+06,	1.49843e+06,	1.44635e+06,	4.36626e+01,	5.48058e+01,	3.25656e-01,	1.28741e+01,	1.72305e-03,	4.16043e+01
2.20000e+02,	1.47840e+04,	1.89235e+06,	1.49829e+06,	1.44621e+06,	4.19287e+01,	5.93740e+01,	3.25780e-01,	1.31949e+01,	1.72496e-03,	4.58517e+01
2.30000e+02,	1.47840e+04,	1.89235e+06,	1.49825e+06,	1.44620e+06,	4.42966e+01,	5.59512e+01,	3.30995e-01,	1.27814e+01,	1.71900e-03,	4.28370e+01
2.40000e+02,	1.47840e+04,	1.89235e+06,	1.49825e+06,	1.44620e+06,	4.03851e+01,	5.68960e+01,	3.21449e-01,	1.31241e+01,	1.72615e-03,	4.34487e+01
