%--------------------------------------------------- 
% Timings: Fri Dec 21 21:16:57 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07712e+05,	0.00000e+00,	3.02285e+01,	1.10890e+01,	1.91375e+01,	1.75691e-03,	2.52008e-04
1.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07725e+05,	3.76071e+01,	3.09571e+01,	5.45285e-01,	2.07644e+01,	1.81007e-03,	9.64553e+00
2.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07725e+05,	3.70107e+01,	3.07936e+01,	5.66180e-01,	2.11525e+01,	1.69396e-03,	9.07321e+00
3.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07727e+05,	3.69513e+01,	3.10250e+01,	5.85307e-01,	2.11644e+01,	1.70517e-03,	9.27356e+00
4.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07727e+05,	3.70095e+01,	3.11117e+01,	5.95976e-01,	2.11357e+01,	1.70088e-03,	9.37839e+00
5.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07727e+05,	3.71797e+01,	3.07110e+01,	5.95401e-01,	2.10437e+01,	1.70207e-03,	9.07019e+00
6.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07730e+05,	3.73023e+01,	3.03559e+01,	5.89692e-01,	2.09984e+01,	1.72305e-03,	8.76609e+00
7.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07730e+05,	3.68017e+01,	3.14281e+01,	6.08288e-01,	2.13518e+01,	1.70302e-03,	9.46627e+00
8.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07732e+05,	3.72362e+01,	3.02405e+01,	6.04135e-01,	2.09127e+01,	1.72091e-03,	8.72193e+00
9.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07739e+05,	3.73778e+01,	3.06114e+01,	5.93201e-01,	2.11138e+01,	1.70803e-03,	8.90273e+00
