%--------------------------------------------------- 
% Timings: Sat Dec 15 02:50:41 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07712e+05,	0.00000e+00,	1.92198e+01,	7.16071e+00,	1.20572e+01,	1.71185e-03,	1.80960e-04
1.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07725e+05,	1.27501e+01,	3.48545e+01,	1.02381e+00,	1.24334e+01,	1.72496e-03,	2.13956e+01
2.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07725e+05,	1.23145e+01,	3.25480e+01,	1.03726e+00,	1.24861e+01,	1.71494e-03,	1.90229e+01
3.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07727e+05,	1.20956e+01,	3.27294e+01,	1.04000e+00,	1.24802e+01,	1.71804e-03,	1.92075e+01
4.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07727e+05,	1.20798e+01,	3.28708e+01,	1.04298e+00,	1.26310e+01,	1.71304e-03,	1.91951e+01
5.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07727e+05,	1.20935e+01,	3.23384e+01,	1.04661e+00,	1.25156e+01,	2.00415e-03,	1.87742e+01
6.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07730e+05,	1.28723e+01,	3.16884e+01,	1.04814e+00,	1.25262e+01,	1.70612e-03,	1.81124e+01
7.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07730e+05,	1.21491e+01,	3.66141e+01,	1.05007e+00,	1.24824e+01,	1.71113e-03,	2.30799e+01
8.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07732e+05,	1.21595e+01,	3.76088e+01,	1.05020e+00,	1.25307e+01,	1.71900e-03,	2.40262e+01
9.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07739e+05,	1.22448e+01,	3.18406e+01,	1.05675e+00,	1.25026e+01,	1.71804e-03,	1.82795e+01
1.00000e+02,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07739e+05,	1.21755e+01,	3.61582e+01,	1.05376e+00,	1.25425e+01,	1.71614e-03,	2.25601e+01
1.10000e+02,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07739e+05,	1.21783e+01,	3.70624e+01,	1.05280e+00,	1.24963e+01,	1.71113e-03,	2.35116e+01
1.20000e+02,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07739e+05,	1.22687e+01,	3.35490e+01,	1.05158e+00,	1.25173e+01,	1.72305e-03,	1.99784e+01
1.30000e+02,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07749e+05,	1.26876e+01,	3.40579e+01,	1.05256e+00,	1.25711e+01,	1.71494e-03,	2.04326e+01
1.40000e+02,	8.19200e+03,	8.19200e+05,	2.18426e+05,	2.07687e+05,	1.32984e+01,	3.48647e+01,	3.48496e+00,	1.24699e+01,	1.76096e-03,	1.89081e+01
1.50000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07684e+05,	1.21619e+01,	3.71339e+01,	1.82663e+00,	1.24918e+01,	1.71494e-03,	2.28137e+01
1.60000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07684e+05,	1.18596e+01,	3.20962e+01,	1.05118e+00,	1.25124e+01,	1.71900e-03,	1.85308e+01
1.70000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07688e+05,	1.23354e+01,	3.40385e+01,	1.05470e+00,	1.24745e+01,	1.71208e-03,	2.05077e+01
1.80000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07696e+05,	1.19867e+01,	3.49271e+01,	1.05421e+00,	1.24527e+01,	1.71494e-03,	2.14185e+01
1.90000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07696e+05,	1.19337e+01,	3.13248e+01,	1.05089e+00,	1.25642e+01,	1.70898e-03,	1.77080e+01
2.00000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07696e+05,	1.19574e+01,	3.37617e+01,	1.05055e+00,	1.25043e+01,	1.72591e-03,	2.02051e+01
2.10000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07696e+05,	1.20874e+01,	3.38540e+01,	1.05803e+00,	1.23813e+01,	1.71089e-03,	2.04129e+01
2.20000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07697e+05,	1.22920e+01,	3.20055e+01,	1.05087e+00,	1.25380e+01,	1.72305e-03,	1.84148e+01
2.30000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07698e+05,	1.20398e+01,	3.52099e+01,	1.05060e+00,	1.24693e+01,	1.71518e-03,	2.16883e+01
2.40000e+02,	8.19200e+03,	8.19200e+05,	2.18412e+05,	2.07698e+05,	1.28952e+01,	3.04410e+01,	1.05203e+00,	1.25154e+01,	1.72496e-03,	1.68718e+01
2.50000e+02,	8.19200e+03,	8.19200e+05,	2.18405e+05,	2.07691e+05,	1.22146e+01,	3.07561e+01,	1.05050e+00,	1.24842e+01,	1.71208e-03,	1.72197e+01
2.60000e+02,	8.19200e+03,	8.19200e+05,	2.18398e+05,	2.07686e+05,	1.22551e+01,	3.10807e+01,	1.06037e+00,	1.25128e+01,	1.70994e-03,	1.75058e+01
2.70000e+02,	8.19200e+03,	8.19200e+05,	2.18398e+05,	2.07689e+05,	1.23075e+01,	3.11547e+01,	1.05040e+00,	1.25170e+01,	1.71399e-03,	1.75856e+01
2.80000e+02,	8.19200e+03,	8.19200e+05,	2.18398e+05,	2.07691e+05,	1.23105e+01,	3.09532e+01,	1.05140e+00,	1.25055e+01,	1.71280e-03,	1.73946e+01
2.90000e+02,	8.19200e+03,	8.19200e+05,	2.18391e+05,	2.07687e+05,	1.27716e+01,	3.03748e+01,	1.05173e+00,	1.25802e+01,	1.72400e-03,	1.67411e+01
3.00000e+02,	8.19200e+03,	8.19200e+05,	2.18391e+05,	2.07691e+05,	1.25565e+01,	3.05694e+01,	1.05074e+00,	1.25415e+01,	1.71399e-03,	1.69755e+01
3.10000e+02,	8.19200e+03,	8.19200e+05,	2.18384e+05,	2.07696e+05,	1.31940e+01,	3.01633e+01,	1.04998e+00,	1.24414e+01,	1.71399e-03,	1.66702e+01
3.20000e+02,	8.19200e+03,	8.19200e+05,	2.18370e+05,	2.07684e+05,	1.22888e+01,	3.09100e+01,	1.05250e+00,	1.24965e+01,	1.71685e-03,	1.73593e+01
3.30000e+02,	8.19200e+03,	8.19200e+05,	2.18356e+05,	2.07674e+05,	1.26097e+01,	3.04564e+01,	1.05023e+00,	1.24111e+01,	1.71709e-03,	1.69933e+01
3.40000e+02,	8.19200e+03,	8.19200e+05,	2.18356e+05,	2.07677e+05,	1.23455e+01,	3.08565e+01,	1.05094e+00,	1.24799e+01,	1.71304e-03,	1.73240e+01
3.50000e+02,	8.19200e+03,	8.19200e+05,	2.18328e+05,	2.07655e+05,	1.26015e+01,	3.06115e+01,	1.05127e+00,	1.24719e+01,	1.71494e-03,	1.70866e+01
3.60000e+02,	8.19200e+03,	8.19200e+05,	2.18314e+05,	2.07653e+05,	1.31219e+01,	2.99884e+01,	1.05503e+00,	1.25431e+01,	1.71304e-03,	1.63886e+01
3.70000e+02,	8.19200e+03,	8.19200e+05,	2.18314e+05,	2.07653e+05,	1.24933e+01,	3.07567e+01,	1.05260e+00,	1.24633e+01,	1.71089e-03,	1.72391e+01
3.80000e+02,	8.19200e+03,	8.19200e+05,	2.18307e+05,	2.07654e+05,	1.31068e+01,	3.05801e+01,	1.05017e+00,	1.25247e+01,	1.70398e-03,	1.70035e+01
3.90000e+02,	8.19200e+03,	8.19200e+05,	2.18265e+05,	2.07613e+05,	1.33375e+01,	2.98997e+01,	1.05069e+00,	1.25472e+01,	1.86515e-03,	1.63000e+01
