%--------------------------------------------------- 
% Timings: Tue Dec  4 10:23:02 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	1.63840e+04,	2.09715e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.10782e+01,	2.77587e+00,	8.30023e+00,	1.71995e-03,	4.08888e-04
1.00000e+01,	1.63840e+04,	2.09715e+06,	1.49887e+06,	1.44658e+06,	3.87277e+01,	5.97356e+01,	6.33380e-02,	8.10240e+00,	1.72615e-03,	5.15682e+01
2.00000e+01,	1.63840e+04,	2.09715e+06,	1.49887e+06,	1.44658e+06,	3.80890e+01,	9.75201e+01,	6.50821e-02,	8.83283e+00,	1.74904e-03,	8.86205e+01
3.00000e+01,	1.63840e+04,	2.09715e+06,	1.49882e+06,	1.44655e+06,	3.88114e+01,	8.77861e+01,	6.94828e-02,	9.07863e+00,	2.49505e-03,	7.86355e+01
4.00000e+01,	1.63840e+04,	2.09715e+06,	1.49882e+06,	1.44657e+06,	3.84099e+01,	5.71505e+01,	6.48601e-02,	8.33864e+00,	1.83916e-03,	4.87452e+01
5.00000e+01,	1.63840e+04,	2.09715e+06,	1.49883e+06,	1.44658e+06,	3.87422e+01,	1.38344e+02,	6.98760e-02,	8.24187e+00,	1.76001e-03,	1.30031e+02
6.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44653e+06,	3.94990e+01,	4.35374e+01,	6.90241e-02,	8.46033e+00,	2.30098e-03,	3.50057e+01
7.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44655e+06,	3.92771e+01,	5.71017e+01,	6.49669e-02,	8.46528e+00,	1.75595e-03,	4.85697e+01
8.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.88853e+01,	5.55578e+01,	6.50072e-02,	8.66202e+00,	1.73712e-03,	4.68290e+01
9.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.87797e+01,	5.70041e+01,	6.50542e-02,	9.10866e+00,	2.28500e-03,	4.78281e+01
1.00000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.86536e+01,	5.62496e+01,	6.48010e-02,	8.76598e+00,	1.75405e-03,	4.74170e+01
1.10000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.91126e+01,	5.64176e+01,	6.48892e-02,	9.00554e+00,	1.73402e-03,	4.73454e+01
1.20000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44657e+06,	3.88247e+01,	5.60977e+01,	6.50790e-02,	8.99303e+00,	1.74904e-03,	4.70379e+01
1.30000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44658e+06,	3.89039e+01,	5.65906e+01,	6.48031e-02,	8.62086e+00,	1.80793e-03,	4.79032e+01
1.40000e+02,	1.63840e+04,	2.09715e+06,	1.49876e+06,	1.44657e+06,	3.89761e+01,	5.61153e+01,	6.51720e-02,	8.72739e+00,	2.08688e-03,	4.73206e+01
1.50000e+02,	1.63840e+04,	2.09715e+06,	1.49876e+06,	1.44658e+06,	3.88415e+01,	5.72315e+01,	6.49440e-02,	8.56655e+00,	1.73283e-03,	4.85983e+01
1.60000e+02,	1.63840e+04,	2.09715e+06,	1.49876e+06,	1.44659e+06,	3.86494e+01,	5.86644e+01,	6.51319e-02,	9.33012e+00,	1.73116e-03,	4.92675e+01
