%  amr_in-transit/failed/pipe-7-16384   amr_in-transit/failed/pipe-7-16384/extracted_timings-e633047.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  37.9244586388889 ,  36.913327 ,  40.387916 ,  0.775511964865539 
% PVSPY_VIZ_TIMINGS ,  59.0924516666667 ,  1.5e-05 ,  139.377111 ,  19.2008497066479 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,36.913327,60.760815
20,37.057824,98.552469
30,37.791172,88.807213
40,37.388445,58.173541
50,37.710493,139.377111
60,38.473108,44.56527
70,38.256273,58.123863
80,37.865849,56.578575
90,37.749079,58.035839
100,37.63444,57.270187
110,38.08993,57.441512
120,37.799225,57.124238
130,37.871291,57.624295
140,37.952698,57.140109
150,37.812593,58.261533
160,37.613968,59.700817
170,39.02497,59.085844
180,38.06888,56.906109
190,36.994715,58.708013
200,37.126136,60.90876
210,37.483679,56.45262
220,40.387916,54.342052
230,40.326763,52.609905
240,38.522298,53.946625
250,38.411914,54.528761
260,38.511436,53.866393
270,38.103371,54.363346
280,37.286278,56.066585
290,37.334242,55.651489
300,37.630411,54.225127
310,37.409152,54.987032
320,37.406292,54.460044
330,37.475815,56.596169
340,37.485888,56.865163
350,37.596436,55.220821
360,38.714204,1.5e-05
