%--------------------------------------------------- 
% Timings: Mon Dec  3 21:46:10 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	3.27680e+04,	3.27680e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.13054e+01,	3.98655e+00,	7.31616e+00,	1.73306e-03,	9.39131e-04
1.00000e+01,	3.27680e+04,	3.27680e+06,	1.49887e+06,	1.44658e+06,	2.24058e+01,	9.04070e+01,	2.50806e-01,	7.43003e+00,	1.76096e-03,	8.27244e+01
2.00000e+01,	3.27680e+04,	3.27680e+06,	1.49887e+06,	1.44658e+06,	2.28236e+01,	8.65065e+01,	2.55386e-01,	7.32379e+00,	1.74904e-03,	7.89256e+01
3.00000e+01,	3.27680e+04,	3.27680e+06,	1.49882e+06,	1.44655e+06,	2.27754e+01,	8.52181e+01,	2.59639e-01,	7.23589e+00,	2.03323e-03,	7.77205e+01
4.00000e+01,	3.27680e+04,	3.27680e+06,	1.49882e+06,	1.44657e+06,	2.26102e+01,	8.04208e+01,	2.56465e-01,	7.51442e+00,	2.36106e-03,	7.26476e+01
5.00000e+01,	3.27680e+04,	3.27680e+06,	1.49883e+06,	1.44658e+06,	2.29828e+01,	7.97413e+01,	2.58102e-01,	7.29498e+00,	1.74022e-03,	7.21865e+01
6.00000e+01,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44653e+06,	2.28767e+01,	5.70149e+01,	2.61440e-01,	7.24913e+00,	1.75285e-03,	4.95025e+01
7.00000e+01,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44655e+06,	2.25476e+01,	8.11367e+01,	2.56647e-01,	7.30735e+00,	1.76001e-03,	7.35709e+01
8.00000e+01,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44656e+06,	2.24334e+01,	7.98637e+01,	2.55989e-01,	7.31956e+00,	1.74308e-03,	7.22864e+01
9.00000e+01,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44656e+06,	2.26247e+01,	7.90349e+01,	2.58217e-01,	7.25833e+00,	1.74999e-03,	7.15166e+01
1.00000e+02,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44656e+06,	2.27773e+01,	7.83896e+01,	2.61652e-01,	7.27713e+00,	1.79696e-03,	7.08490e+01
1.10000e+02,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44656e+06,	2.24617e+01,	7.95399e+01,	2.56310e-01,	7.29905e+00,	1.74212e-03,	7.19828e+01
1.20000e+02,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44657e+06,	2.25592e+01,	7.80214e+01,	2.56864e-01,	7.26124e+00,	2.29788e-03,	7.05010e+01
1.30000e+02,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44658e+06,	2.30546e+01,	7.72569e+01,	2.56293e-01,	7.34173e+00,	1.77908e-03,	6.96571e+01
1.40000e+02,	3.27680e+04,	3.27680e+06,	1.49876e+06,	1.44657e+06,	2.29149e+01,	7.76820e+01,	2.55733e-01,	7.27847e+00,	1.74904e-03,	7.01460e+01
1.50000e+02,	3.27680e+04,	3.27680e+06,	1.49876e+06,	1.44658e+06,	2.26494e+01,	7.78427e+01,	2.58683e-01,	7.30154e+00,	1.74212e-03,	7.02808e+01
