%  .   ./extracted_timings-e08.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  14.65746922 ,  11.554226 ,  18.239862 ,  1.80444191455742 
% PVSPY_VIZ_TIMINGS ,  5.59745742 ,  1.633804 ,  123.813719 ,  19.59171195311 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,11.554226,1.665798
20,11.617281,1.686878
30,11.652298,1.721226
40,11.584757,1.772498
50,11.833743,1.633804
60,11.817997,1.879018
70,11.786545,1.800001
80,11.91401,1.860612
90,12.240303,1.715052
100,12.374098,1.808111
110,12.724647,1.67311
120,13.107798,1.879018
130,13.140836,1.702562
140,13.218432,1.834854
150,13.934948,1.723743
160,14.229967,1.733063
170,14.888323,1.866903
180,14.825832,1.85989
190,14.75544,1.694155
200,14.806841,1.86078
210,15.116146,1.769725
220,14.924029,1.794924
230,15.120619,1.755784
240,14.986519,1.84793
250,14.901412,1.731013
260,14.917102,1.880762
270,14.657254,1.676552
280,14.57746,1.869412
290,14.752197,123.813719
300,14.655306,1.898308
310,14.63103,1.791647
320,16.766859,1.830006
330,15.277203,1.875145
340,15.298363,1.777788
350,15.74879,1.841015
360,16.394137,1.787951
370,16.524987,1.879158
380,16.6884,1.732356
390,16.196122,1.78078
400,16.187232,69.927161
410,16.711335,1.775737
420,16.215134,1.805689
430,16.167658,1.760029
440,16.650877,1.721388
450,18.239862,1.83145
460,15.513348,2.023997
470,15.899701,1.761562
480,17.512961,1.871574
490,16.877113,1.758744
500,16.755983,1.930489
