%--------------------------------------------------- 
% Timings: Fri Dec 21 10:45:01 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	2.56000e+02,	6.55360e+04,	3.30940e+04,	3.00800e+04,	0.00000e+00,	3.65098e+01,	1.30693e+01,	2.34241e+01,	1.69110e-03,	1.46620e-02
1.00000e+01,	2.56000e+02,	6.55360e+04,	3.30940e+04,	3.00800e+04,	3.85443e+01,	4.17071e+01,	5.65125e-01,	2.62343e+01,	1.68419e-03,	1.49060e+01
2.00000e+01,	2.56000e+02,	6.55360e+04,	3.30940e+04,	3.00800e+04,	3.80809e+01,	4.24688e+01,	6.33170e-01,	2.64390e+01,	1.68896e-03,	1.53950e+01
3.00000e+01,	2.56000e+02,	6.55360e+04,	3.30940e+04,	3.00800e+04,	3.81500e+01,	4.25628e+01,	6.42442e-01,	2.63401e+01,	1.69110e-03,	1.55786e+01
4.00000e+01,	2.56000e+02,	6.55360e+04,	3.30940e+04,	3.00840e+04,	3.80676e+01,	4.26341e+01,	6.40823e-01,	2.61768e+01,	1.68610e-03,	1.58149e+01
5.00000e+01,	2.56000e+02,	6.55360e+04,	3.30940e+04,	3.00850e+04,	3.80710e+01,	4.32102e+01,	6.56536e-01,	2.64130e+01,	1.69683e-03,	1.61390e+01
6.00000e+01,	2.56000e+02,	6.55360e+04,	3.30940e+04,	3.00870e+04,	3.81970e+01,	4.29160e+01,	6.55457e-01,	2.64286e+01,	1.68705e-03,	1.58303e+01
7.00000e+01,	2.56000e+02,	6.55360e+04,	3.30660e+04,	3.00810e+04,	3.93600e+01,	4.17606e+01,	6.61945e-01,	2.63967e+01,	1.69206e-03,	1.47003e+01
8.00000e+01,	2.56000e+02,	6.55360e+04,	3.30450e+04,	3.00640e+04,	3.87858e+01,	4.19051e+01,	6.57931e-01,	2.64852e+01,	1.69802e-03,	1.47603e+01
9.00000e+01,	2.56000e+02,	6.55360e+04,	3.30450e+04,	3.00760e+04,	3.82783e+01,	4.21667e+01,	6.49054e-01,	2.61556e+01,	1.69802e-03,	1.53604e+01
1.00000e+02,	2.56000e+02,	6.55360e+04,	3.30450e+04,	3.00760e+04,	3.83287e+01,	4.23537e+01,	6.53828e-01,	2.62241e+01,	1.69396e-03,	1.54741e+01
1.10000e+02,	2.56000e+02,	6.55360e+04,	3.30450e+04,	3.00760e+04,	3.82958e+01,	4.21822e+01,	6.54460e-01,	2.63382e+01,	1.68681e-03,	1.51878e+01
1.20000e+02,	2.56000e+02,	6.55360e+04,	3.30450e+04,	3.00770e+04,	3.84018e+01,	4.17142e+01,	6.50172e-01,	2.60627e+01,	1.67894e-03,	1.49996e+01
1.30000e+02,	2.56000e+02,	6.55360e+04,	3.30450e+04,	3.00770e+04,	3.83312e+01,	4.20887e+01,	6.54395e-01,	2.60986e+01,	1.67489e-03,	1.53341e+01
1.40000e+02,	2.56000e+02,	6.55360e+04,	3.30450e+04,	3.00800e+04,	3.85185e+01,	4.18535e+01,	6.32272e-01,	2.61470e+01,	1.69492e-03,	1.50725e+01
1.50000e+02,	2.56000e+02,	6.55360e+04,	3.30450e+04,	3.00820e+04,	3.88092e+01,	4.12088e+01,	6.24717e-01,	2.61343e+01,	1.69086e-03,	1.44481e+01
1.60000e+02,	2.56000e+02,	6.55360e+04,	3.30380e+04,	3.00790e+04,	3.93662e+01,	4.14246e+01,	6.42062e-01,	2.64274e+01,	1.69706e-03,	1.43535e+01
1.70000e+02,	2.56000e+02,	6.55360e+04,	3.30380e+04,	3.00810e+04,	3.92837e+01,	4.10948e+01,	6.29607e-01,	2.63717e+01,	1.69301e-03,	1.40918e+01
1.80000e+02,	2.56000e+02,	6.55360e+04,	3.30380e+04,	3.00850e+04,	3.97776e+01,	4.03963e+01,	6.30149e-01,	2.63219e+01,	1.66416e-03,	1.34426e+01
1.90000e+02,	2.56000e+02,	6.55360e+04,	3.30380e+04,	3.00870e+04,	3.99858e+01,	4.06856e+01,	6.41848e-01,	2.65832e+01,	1.68705e-03,	1.34588e+01
2.00000e+02,	2.56000e+02,	6.55360e+04,	3.30310e+04,	3.00930e+04,	4.32404e+01,	3.94960e+01,	2.61112e+00,	2.66309e+01,	1.69420e-03,	1.02523e+01
2.10000e+02,	2.56000e+02,	6.55360e+04,	3.30240e+04,	3.00870e+04,	4.52390e+01,	3.62510e+01,	6.48685e-01,	2.66786e+01,	1.68705e-03,	8.92203e+00
2.20000e+02,	2.56000e+02,	6.55360e+04,	3.30100e+04,	3.00740e+04,	4.48110e+01,	3.60648e+01,	6.51939e-01,	2.64992e+01,	1.68991e-03,	8.91203e+00
2.30000e+02,	2.56000e+02,	6.55360e+04,	3.30100e+04,	3.00760e+04,	4.45037e+01,	3.59276e+01,	6.45096e-01,	2.62395e+01,	1.68800e-03,	9.04137e+00
2.40000e+02,	2.56000e+02,	6.55360e+04,	3.30100e+04,	3.00760e+04,	4.48580e+01,	3.57082e+01,	6.50786e-01,	2.64007e+01,	1.66202e-03,	8.65504e+00
2.50000e+02,	2.56000e+02,	6.55360e+04,	3.30100e+04,	3.00840e+04,	4.52965e+01,	3.54401e+01,	6.47166e-01,	2.64348e+01,	1.68800e-03,	8.35646e+00
