%--------------------------------------------------- 
% Timings: Mon Dec  3 13:24:03 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	1.02400e+03,	1.02400e+05,	3.30940e+04,	3.00800e+04,	0.00000e+00,	1.70746e+01,	5.86525e+00,	1.11689e+01,	1.68705e-03,	3.87001e-02
1.00000e+01,	1.02400e+03,	1.02400e+05,	3.30940e+04,	3.00800e+04,	1.17807e+01,	1.68277e+01,	5.00457e-01,	1.15427e+01,	1.68085e-03,	4.78283e+00
2.00000e+01,	1.02400e+03,	1.02400e+05,	3.30940e+04,	3.00800e+04,	1.16301e+01,	1.69659e+01,	5.10165e-01,	1.17773e+01,	1.68014e-03,	4.67682e+00
3.00000e+01,	1.02400e+03,	1.02400e+05,	3.30940e+04,	3.00800e+04,	1.20063e+01,	1.63867e+01,	5.17097e-01,	1.15764e+01,	1.68610e-03,	4.29150e+00
4.00000e+01,	1.02400e+03,	1.02400e+05,	3.30940e+04,	3.00840e+04,	1.17398e+01,	1.67289e+01,	5.12795e-01,	1.15159e+01,	1.68705e-03,	4.69858e+00
5.00000e+01,	1.02400e+03,	1.02400e+05,	3.30940e+04,	3.00850e+04,	1.17563e+01,	1.67161e+01,	5.17235e-01,	1.15677e+01,	1.68681e-03,	4.62947e+00
6.00000e+01,	1.02400e+03,	1.02400e+05,	3.30940e+04,	3.00870e+04,	1.19079e+01,	1.65921e+01,	5.20803e-01,	1.15506e+01,	1.68800e-03,	4.51899e+00
7.00000e+01,	1.02400e+03,	1.02400e+05,	3.30660e+04,	3.00810e+04,	1.24344e+01,	1.60345e+01,	5.21979e-01,	1.15112e+01,	1.68610e-03,	3.99970e+00
8.00000e+01,	1.02400e+03,	1.02400e+05,	3.30450e+04,	3.00640e+04,	1.20135e+01,	1.63955e+01,	5.15374e-01,	1.15242e+01,	1.69706e-03,	4.35422e+00
9.00000e+01,	1.02400e+03,	1.02400e+05,	3.30450e+04,	3.00760e+04,	1.17825e+01,	1.65316e+01,	5.14827e-01,	1.15555e+01,	1.68300e-03,	4.45957e+00
1.00000e+02,	1.02400e+03,	1.02400e+05,	3.30450e+04,	3.00760e+04,	1.18560e+01,	1.66744e+01,	5.19500e-01,	1.16123e+01,	1.68085e-03,	4.54098e+00
1.10000e+02,	1.02400e+03,	1.02400e+05,	3.30450e+04,	3.00760e+04,	1.18571e+01,	1.66026e+01,	5.14674e-01,	1.15595e+01,	1.69110e-03,	4.52676e+00
1.20000e+02,	1.02400e+03,	1.02400e+05,	3.30450e+04,	3.00770e+04,	1.20767e+01,	1.64052e+01,	5.18303e-01,	1.15131e+01,	1.68800e-03,	4.37202e+00
1.30000e+02,	1.02400e+03,	1.02400e+05,	3.30450e+04,	3.00770e+04,	1.19116e+01,	1.64539e+01,	5.18496e-01,	1.15186e+01,	1.69301e-03,	4.41511e+00
1.40000e+02,	1.02400e+03,	1.02400e+05,	3.30450e+04,	3.00800e+04,	1.19818e+01,	1.64436e+01,	5.17677e-01,	1.15385e+01,	1.69897e-03,	4.38576e+00
1.50000e+02,	1.02400e+03,	1.02400e+05,	3.30450e+04,	3.00820e+04,	1.21398e+01,	1.62892e+01,	5.14897e-01,	1.15060e+01,	1.69301e-03,	4.26661e+00
1.60000e+02,	1.02400e+03,	1.02400e+05,	3.30380e+04,	3.00790e+04,	1.23696e+01,	1.59227e+01,	5.15912e-01,	1.15166e+01,	1.68014e-03,	3.88854e+00
1.70000e+02,	1.02400e+03,	1.02400e+05,	3.30380e+04,	3.00810e+04,	1.24322e+01,	1.57789e+01,	5.15702e-01,	1.14679e+01,	1.69015e-03,	3.79362e+00
1.80000e+02,	1.02400e+03,	1.02400e+05,	3.30380e+04,	3.00850e+04,	1.26295e+01,	1.55701e+01,	5.14210e-01,	1.15598e+01,	1.68800e-03,	3.49441e+00
1.90000e+02,	1.02400e+03,	1.02400e+05,	3.30380e+04,	3.00870e+04,	1.27061e+01,	1.55849e+01,	5.13507e-01,	1.15455e+01,	1.68610e-03,	3.52426e+00
2.00000e+02,	1.02400e+03,	1.02400e+05,	3.30310e+04,	3.00930e+04,	1.29427e+01,	1.54051e+01,	5.15651e-01,	1.15064e+01,	1.69301e-03,	3.38134e+00
2.10000e+02,	1.02400e+03,	1.02400e+05,	3.30240e+04,	3.00870e+04,	1.31383e+01,	1.51842e+01,	5.17115e-01,	1.15270e+01,	1.68896e-03,	3.13842e+00
2.20000e+02,	1.02400e+03,	1.02400e+05,	3.30100e+04,	3.00740e+04,	1.31120e+01,	1.50054e+01,	5.17190e-01,	1.15158e+01,	1.69301e-03,	2.97068e+00
2.30000e+02,	1.02400e+03,	1.02400e+05,	3.30100e+04,	3.00760e+04,	1.30787e+01,	1.51314e+01,	5.16642e-01,	1.15528e+01,	1.69802e-03,	3.06024e+00
2.40000e+02,	1.02400e+03,	1.02400e+05,	3.30100e+04,	3.00760e+04,	1.32134e+01,	1.49593e+01,	5.16211e-01,	1.15373e+01,	1.68800e-03,	2.90411e+00
2.50000e+02,	1.02400e+03,	1.02400e+05,	3.30100e+04,	3.00840e+04,	1.32992e+01,	1.49797e+01,	5.14904e-01,	1.16129e+01,	1.69086e-03,	2.85023e+00
2.60000e+02,	1.02400e+03,	1.02400e+05,	3.29960e+04,	3.00700e+04,	1.35307e+01,	1.49094e+01,	5.18309e-01,	1.15711e+01,	1.69897e-03,	2.81832e+00
2.70000e+02,	1.02400e+03,	1.02400e+05,	3.29750e+04,	3.00690e+04,	1.38400e+01,	1.43769e+01,	5.18854e-01,	1.15571e+01,	1.69921e-03,	2.29926e+00
2.80000e+02,	1.02400e+03,	1.02400e+05,	3.29750e+04,	3.00690e+04,	1.35283e+01,	1.47025e+01,	5.16903e-01,	1.14577e+01,	1.68991e-03,	2.72614e+00
2.90000e+02,	1.02400e+03,	1.02400e+05,	3.29750e+04,	3.00690e+04,	1.35544e+01,	1.46299e+01,	5.14827e-01,	1.15327e+01,	1.69897e-03,	2.58068e+00
3.00000e+02,	1.02400e+03,	1.02400e+05,	3.29540e+04,	3.00490e+04,	1.40647e+01,	1.41229e+01,	5.14822e-01,	1.15352e+01,	1.68610e-03,	2.07119e+00
3.10000e+02,	1.02400e+03,	1.02400e+05,	3.29680e+04,	3.00690e+04,	1.37138e+01,	1.44580e+01,	5.21032e-01,	1.15103e+01,	1.69802e-03,	2.42499e+00
3.20000e+02,	1.02400e+03,	1.02400e+05,	3.29470e+04,	3.00500e+04,	1.39872e+01,	1.42227e+01,	5.13441e-01,	1.15048e+01,	1.69396e-03,	2.20274e+00
3.30000e+02,	1.02400e+03,	1.02400e+05,	3.29120e+04,	3.00270e+04,	1.42785e+01,	1.38429e+01,	5.17195e-01,	1.15542e+01,	1.67608e-03,	1.76983e+00
