%--------------------------------------------------- 
% Timings: Wed Jan  2 19:27:17 2013
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07712e+05,	0.00000e+00,	3.02323e+01,	1.11051e+01,	1.91252e+01,	1.69492e-03,	2.52008e-04
1.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07725e+05,	3.71937e+01,	3.16969e+01,	5.47724e-01,	2.07420e+01,	1.69706e-03,	1.04054e+01
2.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07725e+05,	3.67169e+01,	2.15089e+01,	5.67235e-01,	2.09388e+01,	1.69611e-03,	1.19090e-03
3.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07727e+05,	3.67279e+01,	3.08277e+01,	5.83216e-01,	2.09795e+01,	1.70803e-03,	9.26329e+00
4.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07727e+05,	3.66913e+01,	3.17030e+01,	5.84644e-01,	2.10743e+01,	1.69206e-03,	1.00424e+01
5.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07727e+05,	3.67157e+01,	3.15879e+01,	5.84783e-01,	2.10192e+01,	1.70088e-03,	9.98217e+00
6.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07730e+05,	3.68557e+01,	3.07180e+01,	5.91108e-01,	2.10177e+01,	1.68991e-03,	9.10744e+00
7.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07730e+05,	3.68040e+01,	3.08978e+01,	5.89873e-01,	2.09757e+01,	1.69396e-03,	9.33058e+00
8.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07732e+05,	3.68587e+01,	3.14160e+01,	6.01818e-01,	2.10962e+01,	1.70088e-03,	9.71635e+00
9.00000e+01,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07739e+05,	3.70402e+01,	3.08439e+01,	5.97372e-01,	2.11026e+01,	1.69921e-03,	9.14223e+00
1.00000e+02,	2.04800e+03,	5.24288e+05,	2.18510e+05,	2.07739e+05,	3.69375e+01,	3.10726e+01,	5.92558e-01,	2.11392e+01,	1.71113e-03,	9.33921e+00
