%--------------------------------------------------- 
% Timings: Sun Dec 23 03:34:00 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07712e+05,	0.00000e+00,	3.22434e+01,	1.26420e+01,	1.95995e+01,	1.72114e-03,	1.60933e-04
1.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07725e+05,	1.21873e+01,	5.94021e+01,	2.10882e+00,	2.15305e+01,	1.71900e-03,	3.57611e+01
2.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07725e+05,	1.20139e+01,	5.89036e+01,	2.13033e+00,	2.19138e+01,	1.71304e-03,	3.48577e+01
3.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07727e+05,	1.21538e+01,	5.84897e+01,	2.16202e+00,	2.18651e+01,	1.76311e-03,	3.44608e+01
4.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07727e+05,	1.21381e+01,	5.89053e+01,	2.20982e+00,	2.19232e+01,	1.72114e-03,	3.47705e+01
5.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07727e+05,	1.21545e+01,	5.89074e+01,	2.20516e+00,	2.20379e+01,	1.71518e-03,	3.46626e+01
6.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07730e+05,	1.22562e+01,	5.87500e+01,	2.20203e+00,	2.18816e+01,	1.72114e-03,	3.46647e+01
7.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07730e+05,	1.21874e+01,	5.81524e+01,	2.21173e+00,	2.18510e+01,	1.73306e-03,	3.40879e+01
8.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07732e+05,	1.22165e+01,	5.83962e+01,	2.21065e+00,	2.19096e+01,	1.72400e-03,	3.42742e+01
9.00000e+01,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07739e+05,	1.23427e+01,	5.81608e+01,	2.21507e+00,	2.19417e+01,	1.71804e-03,	3.40023e+01
1.00000e+02,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07739e+05,	1.22507e+01,	5.90505e+01,	2.21597e+00,	2.20683e+01,	1.71709e-03,	3.47646e+01
1.10000e+02,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07739e+05,	1.25916e+01,	5.81316e+01,	2.21344e+00,	2.19268e+01,	1.72400e-03,	3.39896e+01
1.20000e+02,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07739e+05,	1.26349e+01,	5.81361e+01,	2.21295e+00,	2.20011e+01,	1.72400e-03,	3.39203e+01
1.30000e+02,	8.19200e+03,	8.19200e+05,	2.18510e+05,	2.07749e+05,	1.34358e+01,	5.72111e+01,	2.21458e+00,	2.19712e+01,	1.78003e-03,	3.30235e+01
1.40000e+02,	8.19200e+03,	8.19200e+05,	2.18426e+05,	2.07687e+05,	1.32908e+01,	5.75484e+01,	2.21707e+00,	2.20279e+01,	1.71709e-03,	3.33017e+01
1.50000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07684e+05,	1.22383e+01,	5.79853e+01,	2.21395e+00,	2.20434e+01,	1.74618e-03,	3.37263e+01
1.60000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07684e+05,	1.19629e+01,	5.87163e+01,	2.20896e+00,	2.21137e+01,	1.72710e-03,	3.43919e+01
1.70000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07688e+05,	1.19893e+01,	5.80586e+01,	2.21032e+00,	2.19252e+01,	1.72496e-03,	3.39213e+01
1.80000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07696e+05,	1.20787e+01,	5.80815e+01,	2.21361e+00,	2.19148e+01,	1.70708e-03,	3.39514e+01
1.90000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07696e+05,	1.20132e+01,	5.79559e+01,	2.20937e+00,	2.20526e+01,	1.71709e-03,	3.36923e+01
2.00000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07696e+05,	1.20640e+01,	5.77043e+01,	2.21998e+00,	2.19607e+01,	1.70803e-03,	3.35219e+01
2.10000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07696e+05,	1.21981e+01,	5.79101e+01,	2.21922e+00,	2.19448e+01,	3.90005e-03,	3.37422e+01
2.20000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07697e+05,	1.28901e+01,	5.71928e+01,	2.20861e+00,	2.19569e+01,	1.73998e-03,	3.30256e+01
2.30000e+02,	8.19200e+03,	8.19200e+05,	2.18419e+05,	2.07698e+05,	1.22929e+01,	5.76948e+01,	2.20559e+00,	2.19816e+01,	1.72615e-03,	3.35059e+01
2.40000e+02,	8.19200e+03,	8.19200e+05,	2.18412e+05,	2.07698e+05,	1.24351e+01,	5.76217e+01,	2.21373e+00,	2.19255e+01,	1.75500e-03,	3.34807e+01
2.50000e+02,	8.19200e+03,	8.19200e+05,	2.18405e+05,	2.07691e+05,	1.24694e+01,	5.77878e+01,	2.21260e+00,	2.20875e+01,	1.73187e-03,	3.34859e+01
2.60000e+02,	8.19200e+03,	8.19200e+05,	2.18398e+05,	2.07686e+05,	1.23566e+01,	5.78304e+01,	2.21225e+00,	2.21189e+01,	1.71685e-03,	3.34976e+01
2.70000e+02,	8.19200e+03,	8.19200e+05,	2.18398e+05,	2.07689e+05,	1.30479e+01,	5.64976e+01,	2.21400e+00,	2.18252e+01,	1.74713e-03,	3.24567e+01
2.80000e+02,	8.19200e+03,	8.19200e+05,	2.18398e+05,	2.07691e+05,	1.27595e+01,	5.70897e+01,	2.21824e+00,	2.19999e+01,	1.72710e-03,	3.28698e+01
2.90000e+02,	8.19200e+03,	8.19200e+05,	2.18391e+05,	2.07687e+05,	1.25910e+01,	5.74998e+01,	2.21743e+00,	2.20959e+01,	1.72400e-03,	3.31847e+01
3.00000e+02,	8.19200e+03,	8.19200e+05,	2.18391e+05,	2.07691e+05,	1.26812e+01,	5.69396e+01,	2.21713e+00,	2.18483e+01,	1.70302e-03,	3.28725e+01
3.10000e+02,	8.19200e+03,	8.19200e+05,	2.18384e+05,	2.07696e+05,	1.26275e+01,	5.74852e+01,	2.21310e+00,	2.20874e+01,	2.05493e-03,	3.31827e+01
3.20000e+02,	8.19200e+03,	8.19200e+05,	2.18370e+05,	2.07684e+05,	1.23639e+01,	5.75068e+01,	2.21483e+00,	2.20180e+01,	1.77121e-03,	3.32722e+01
