%  amr_in-transit/pipe-6-08192   amr_in-transit/pipe-6-08192/extracted_timings-e692639.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  12.62131212 ,  11.724278 ,  17.568869 ,  1.38736584192939 
% PVSPY_VIZ_TIMINGS ,  57.68204992 ,  52.559777 ,  71.10832 ,  2.42731591203509 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,11.783915,59.974545
20,11.813993,58.286678
30,11.964134,58.535501
40,11.935698,59.055751
50,11.960691,59.112197
60,12.06703,71.10832
70,12.02341,58.799312
80,12.046952,58.461341
90,12.145307,58.664956
100,12.041183,58.480711
110,12.046404,58.723449
120,12.110017,58.41051
130,12.04166,58.568212
140,12.941375,57.608021
150,11.986256,57.851224
160,11.724278,58.144955
170,11.742672,58.264649
180,11.933528,57.932842
190,12.090408,57.743537
200,12.088095,57.648818
210,11.948817,57.990131
220,11.895929,58.046338
230,11.922604,58.017127
240,12.174099,57.651602
250,12.088446,57.874269
260,12.102127,58.01775
270,12.116129,57.541779
280,12.117932,57.417649
290,12.352235,57.134412
300,12.352925,57.191395
310,12.284586,57.389085
320,12.118521,57.550395
330,12.659898,56.936799
340,12.479018,56.911202
350,12.391103,57.089302
360,12.480428,57.057353
370,12.259419,56.927021
380,12.475934,56.810023
390,12.763602,56.535833
400,12.477287,56.633229
410,12.793509,56.42005
420,12.526573,56.429696
430,12.271996,56.520479
440,12.615963,56.199642
450,12.682076,56.134741
460,13.851935,58.885763
470,17.568869,57.269052
480,17.503213,52.846715
490,16.579712,52.738358
500,16.723715,52.559777
