%--------------------------------------------------- 
% Timings: Mon Dec 17 10:52:35 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	8.19200e+03,	2.09715e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	2.08573e+01,	5.14644e+00,	1.57079e+01,	1.76287e-03,	1.12700e-03
1.00000e+01,	8.19200e+03,	2.09715e+06,	1.49887e+06,	1.44658e+06,	6.68569e+01,	4.39206e+01,	1.34471e-01,	1.56421e+01,	1.72806e-03,	2.81422e+01
2.00000e+01,	8.19200e+03,	2.09715e+06,	1.49887e+06,	1.44658e+06,	6.56979e+01,	3.93952e+01,	1.39954e-01,	1.53092e+01,	1.72305e-03,	2.39443e+01
3.00000e+01,	8.19200e+03,	2.09715e+06,	1.49882e+06,	1.44655e+06,	6.65943e+01,	3.47915e+01,	1.43565e-01,	1.54383e+01,	1.75285e-03,	1.92079e+01
4.00000e+01,	8.19200e+03,	2.09715e+06,	1.49882e+06,	1.44657e+06,	6.59933e+01,	3.19017e+01,	1.46071e-01,	1.53397e+01,	2.04396e-03,	1.64139e+01
5.00000e+01,	8.19200e+03,	2.09715e+06,	1.49883e+06,	1.44658e+06,	6.66392e+01,	2.95762e+01,	1.49873e-01,	1.55784e+01,	1.75405e-03,	1.38461e+01
6.00000e+01,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44653e+06,	6.73916e+01,	1.75550e+01,	1.47370e-01,	1.50499e+01,	1.72901e-03,	2.35594e+00
7.00000e+01,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44655e+06,	6.59668e+01,	2.75527e+01,	1.42972e-01,	1.53063e+01,	1.72687e-03,	1.21017e+01
8.00000e+01,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	6.74204e+01,	2.66974e+01,	1.48206e-01,	1.53301e+01,	1.72400e-03,	1.12174e+01
9.00000e+01,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	6.64150e+01,	2.50078e+01,	1.43477e-01,	1.53851e+01,	1.74308e-03,	9.47747e+00
1.00000e+02,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	6.61789e+01,	2.54594e+01,	1.43224e-01,	1.54373e+01,	1.72400e-03,	9.87714e+00
1.10000e+02,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	6.62055e+01,	2.61132e+01,	1.42891e-01,	1.52932e+01,	1.73402e-03,	1.06754e+01
1.20000e+02,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44657e+06,	6.64259e+01,	2.56310e+01,	1.43180e-01,	1.52983e+01,	1.73020e-03,	1.01877e+01
1.30000e+02,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44658e+06,	6.80347e+01,	2.42178e+01,	1.46664e-01,	1.53124e+01,	1.72710e-03,	8.75695e+00
1.40000e+02,	8.19200e+03,	2.09715e+06,	1.49876e+06,	1.44657e+06,	6.67585e+01,	2.48923e+01,	1.50276e-01,	1.52597e+01,	1.72710e-03,	9.48056e+00
1.50000e+02,	8.19200e+03,	2.09715e+06,	1.49876e+06,	1.44658e+06,	6.80395e+01,	2.29134e+01,	1.45117e-01,	1.53668e+01,	1.72305e-03,	7.39982e+00
1.60000e+02,	8.19200e+03,	2.09715e+06,	1.49876e+06,	1.44659e+06,	6.65006e+01,	2.51191e+01,	1.43607e-01,	1.56203e+01,	1.72615e-03,	9.35344e+00
1.70000e+02,	8.19200e+03,	2.09715e+06,	1.49845e+06,	1.44636e+06,	6.87566e+01,	2.28463e+01,	1.62636e-01,	1.56179e+01,	1.77097e-03,	7.06399e+00
1.80000e+02,	8.19200e+03,	2.09715e+06,	1.49843e+06,	1.44634e+06,	6.83616e+01,	2.40495e+01,	1.46183e-01,	1.53453e+01,	1.78218e-03,	8.55624e+00
1.90000e+02,	8.19200e+03,	2.09715e+06,	1.49843e+06,	1.44635e+06,	6.59733e+01,	2.51427e+01,	1.43342e-01,	1.53464e+01,	1.72210e-03,	9.65116e+00
2.00000e+02,	8.19200e+03,	2.09715e+06,	1.49843e+06,	1.44635e+06,	6.74672e+01,	2.29249e+01,	1.47239e-01,	1.52828e+01,	1.71494e-03,	7.49310e+00
2.10000e+02,	8.19200e+03,	2.09715e+06,	1.49843e+06,	1.44635e+06,	6.61956e+01,	2.48612e+01,	1.43058e-01,	1.52620e+01,	1.72400e-03,	9.45442e+00
2.20000e+02,	8.19200e+03,	2.09715e+06,	1.49829e+06,	1.44621e+06,	6.77507e+01,	2.46011e+01,	1.53779e-01,	1.55069e+01,	1.72186e-03,	8.93871e+00
2.30000e+02,	8.19200e+03,	2.09715e+06,	1.49825e+06,	1.44620e+06,	6.81371e+01,	2.41822e+01,	1.48943e-01,	1.54692e+01,	1.71900e-03,	8.56234e+00
2.40000e+02,	8.19200e+03,	2.09715e+06,	1.49825e+06,	1.44620e+06,	6.58910e+01,	2.55702e+01,	1.48990e-01,	1.52807e+01,	1.72806e-03,	1.01387e+01
2.50000e+02,	8.19200e+03,	2.09715e+06,	1.49825e+06,	1.44620e+06,	6.74632e+01,	2.42527e+01,	1.46501e-01,	1.56380e+01,	1.74499e-03,	8.46648e+00
2.60000e+02,	8.19200e+03,	2.09715e+06,	1.49825e+06,	1.44621e+06,	6.59973e+01,	2.53448e+01,	1.47589e-01,	1.54807e+01,	1.72305e-03,	9.71479e+00
2.70000e+02,	8.19200e+03,	2.09715e+06,	1.49825e+06,	1.44621e+06,	6.74754e+01,	2.34372e+01,	1.47582e-01,	1.52265e+01,	1.74093e-03,	8.06135e+00
2.80000e+02,	8.19200e+03,	2.09715e+06,	1.49825e+06,	1.44622e+06,	6.62494e+01,	2.46289e+01,	1.45756e-01,	1.59023e+01,	1.73306e-03,	8.57906e+00
2.90000e+02,	8.19200e+03,	2.09715e+06,	1.49825e+06,	1.44622e+06,	6.63172e+01,	2.58460e+01,	1.29742e+00,	1.53618e+01,	1.79100e-03,	9.18503e+00
3.00000e+02,	8.19200e+03,	2.09715e+06,	1.49825e+06,	1.44622e+06,	6.78125e+01,	2.23081e+01,	1.47065e-01,	1.52346e+01,	1.72400e-03,	6.92468e+00
3.10000e+02,	8.19200e+03,	2.09715e+06,	1.49825e+06,	1.44622e+06,	6.65155e+01,	2.42844e+01,	1.42843e-01,	1.52886e+01,	1.71995e-03,	8.85124e+00
3.20000e+02,	8.19200e+03,	2.09715e+06,	1.49825e+06,	1.44623e+06,	6.82055e+01,	2.17977e+01,	1.50336e-01,	1.51746e+01,	1.71709e-03,	6.47104e+00
3.30000e+02,	8.19200e+03,	2.09715e+06,	1.49825e+06,	1.44623e+06,	6.68643e+01,	2.48571e+01,	1.48592e-01,	1.54576e+01,	1.72496e-03,	9.24921e+00
3.40000e+02,	8.19200e+03,	2.09715e+06,	1.49825e+06,	1.44624e+06,	7.43623e+01,	2.24083e+01,	1.48419e-01,	1.30921e+01,	1.72091e-03,	9.16610e+00
3.50000e+02,	8.19200e+03,	2.09715e+06,	1.49825e+06,	1.44624e+06,	6.68832e+01,	2.17831e+01,	1.48728e-01,	1.32180e+01,	1.72520e-03,	8.41458e+00
3.60000e+02,	8.19200e+03,	2.09715e+06,	1.49825e+06,	1.44625e+06,	6.69954e+01,	2.33760e+01,	1.47958e-01,	1.39928e+01,	6.93297e-03,	9.22826e+00
3.70000e+02,	8.19200e+03,	2.09715e+06,	1.49826e+06,	1.44626e+06,	6.74451e+01,	2.05898e+01,	1.59273e-01,	1.31713e+01,	1.72806e-03,	7.25746e+00
3.80000e+02,	8.19200e+03,	2.09715e+06,	1.49824e+06,	1.44625e+06,	7.06385e+01,	1.81222e+01,	1.12120e+00,	1.32110e+01,	1.72281e-03,	3.78829e+00
3.90000e+02,	8.19200e+03,	2.09715e+06,	1.49826e+06,	1.44627e+06,	7.41886e+01,	2.61988e+01,	1.67180e-01,	1.40436e+01,	1.72210e-03,	1.19863e+01
4.00000e+02,	8.19200e+03,	2.09715e+06,	1.49826e+06,	1.44628e+06,	7.54318e+01,	2.33561e+01,	1.47835e-01,	1.42918e+01,	1.74022e-03,	8.91477e+00
4.10000e+02,	8.19200e+03,	2.09715e+06,	1.49828e+06,	1.44630e+06,	7.61368e+01,	1.37703e+01,	6.26670e-01,	1.31397e+01,	1.71709e-03,	2.15411e-03
4.20000e+02,	8.19200e+03,	2.09715e+06,	1.49827e+06,	1.44630e+06,	7.48091e+01,	2.22974e+01,	1.51988e-01,	1.34183e+01,	1.72591e-03,	8.72541e+00
4.30000e+02,	8.19200e+03,	2.09715e+06,	1.49825e+06,	1.44630e+06,	7.40007e+01,	2.19417e+01,	1.44505e-01,	1.32061e+01,	1.71995e-03,	8.58947e+00
4.40000e+02,	8.19200e+03,	2.09715e+06,	1.49824e+06,	1.44628e+06,	7.58311e+01,	1.99231e+01,	4.73420e-01,	1.36180e+01,	1.73497e-03,	5.82991e+00
4.50000e+02,	8.19200e+03,	2.09715e+06,	1.49826e+06,	1.44632e+06,	7.84205e+01,	1.78915e+01,	4.70456e-01,	1.34812e+01,	1.71900e-03,	3.93815e+00
4.60000e+02,	8.19200e+03,	2.09715e+06,	1.49826e+06,	1.44633e+06,	7.59158e+01,	1.97377e+01,	1.67804e-01,	1.32072e+01,	1.71494e-03,	6.36106e+00
4.70000e+02,	8.19200e+03,	2.09715e+06,	1.49819e+06,	1.44627e+06,	7.61632e+01,	1.34039e+01,	1.66937e-01,	1.32333e+01,	1.72496e-03,	1.89114e-03
4.80000e+02,	8.19200e+03,	2.09715e+06,	1.49816e+06,	1.44624e+06,	7.72767e+01,	1.77559e+01,	3.95533e-01,	1.35335e+01,	1.72710e-03,	3.82510e+00
4.90000e+02,	8.19200e+03,	2.09715e+06,	1.49817e+06,	1.44626e+06,	7.57607e+01,	2.00764e+01,	1.62295e-01,	1.41305e+01,	1.71709e-03,	5.78185e+00
5.00000e+02,	8.19200e+03,	2.09715e+06,	1.49812e+06,	1.44621e+06,	7.60339e+01,	1.82040e+01,	1.57745e-01,	1.31076e+01,	1.71900e-03,	4.93686e+00
