%--------------------------------------------------- 
% Timings: Tue Dec  4 10:24:11 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	8.19200e+03,	2.09715e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.73358e+01,	2.78514e+00,	1.45478e+01,	1.74785e-03,	1.12915e-03
1.00000e+01,	8.19200e+03,	2.09715e+06,	1.49887e+06,	1.44658e+06,	6.59557e+01,	3.64964e+01,	3.29480e-02,	1.52768e+01,	1.75214e-03,	2.11849e+01
2.00000e+01,	8.19200e+03,	2.09715e+06,	1.49887e+06,	1.44658e+06,	6.53816e+01,	7.26223e+01,	3.36599e-02,	1.45675e+01,	1.76406e-03,	5.80193e+01
3.00000e+01,	8.19200e+03,	2.09715e+06,	1.49882e+06,	1.44655e+06,	6.60850e+01,	3.88761e+01,	3.77131e-02,	1.39743e+01,	1.75405e-03,	2.48623e+01
4.00000e+01,	8.19200e+03,	2.09715e+06,	1.49882e+06,	1.44657e+06,	6.58354e+01,	3.63723e+01,	3.43590e-02,	1.52784e+01,	2.18797e-03,	2.10573e+01
5.00000e+01,	8.19200e+03,	2.09715e+06,	1.49883e+06,	1.44658e+06,	6.60672e+01,	1.01910e+02,	3.88649e-02,	1.41797e+01,	2.43092e-03,	8.76891e+01
6.00000e+01,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44653e+06,	6.64609e+01,	1.43930e+01,	3.87418e-02,	1.43503e+01,	1.75714e-03,	2.22802e-03
7.00000e+01,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44655e+06,	6.55972e+01,	3.57395e+01,	3.39432e-02,	1.39910e+01,	1.74403e-03,	2.17129e+01
8.00000e+01,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	6.57415e+01,	3.41372e+01,	3.45130e-02,	1.40591e+01,	1.86491e-03,	2.00417e+01
9.00000e+01,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	6.58676e+01,	3.50231e+01,	4.37260e-02,	1.41029e+01,	1.96886e-03,	2.08744e+01
1.00000e+02,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	6.58343e+01,	3.45831e+01,	3.36821e-02,	1.42096e+01,	1.75285e-03,	2.03381e+01
1.10000e+02,	8.19200e+03,	2.09715e+06,	1.49877e+06,	1.44656e+06,	6.59301e+01,	3.46081e+01,	3.38359e-02,	1.39518e+01,	2.00486e-03,	2.06205e+01
