%  ./pipe-7-08192   ./pipe-7-08192/extracted_timings-e02.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  67.4898873 ,  63.87838 ,  76.605143 ,  4.06070402711121 
% PVSPY_VIZ_TIMINGS ,  25.84405466 ,  15.215363 ,  45.76755 ,  5.34368000259934 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,64.272831,45.76755
20,63.87838,41.216264
30,64.757458,36.629496
40,64.151189,33.744745
50,64.811824,31.404684
60,65.563806,19.384055
70,64.139995,29.380464
80,65.592866,28.530545
90,64.573787,26.850203
100,64.341221,27.298325
110,64.386342,27.934018
120,64.58513,27.472777
130,66.211196,26.042316
140,64.935739,26.715977
150,66.21455,24.739299
160,64.658774,26.961958
170,66.920852,24.683342
180,66.524956,25.887212
190,64.151064,26.965843
200,65.625853,24.767256
210,64.365919,26.691916
220,65.916046,26.437129
230,66.311867,26.008455
240,64.06045,27.40184
250,65.628709,26.088177
260,64.165486,27.177821
270,65.636443,25.277244
280,64.402619,26.477454
290,64.486131,27.678659
300,65.977548,24.143948
310,64.672591,26.128379
320,66.371832,23.632529
330,65.031175,26.691425
340,72.522993,24.248781
350,65.045684,23.621713
360,65.159125,25.225122
370,65.598272,22.437636
380,69.112041,19.649805
390,72.662216,27.72615
400,73.903703,24.885119
410,74.287862,15.620332
420,72.96741,24.140643
430,72.153265,23.790335
440,74.271252,21.484233
450,76.605143,19.708401
460,74.116728,21.537972
470,74.353082,15.215363
480,75.730907,19.30265
490,74.204238,21.633988
500,74.475815,19.763185
