%  ./pipe-7-08192   ./pipe-7-08192/extracted_timings-e08.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  66.6444783 ,  63.379578 ,  76 ,  4.03471354703888 
% PVSPY_VIZ_TIMINGS ,  35.98443284 ,  15.697579 ,  103.760024 ,  12.4820761582203 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,63.379578,38.318655
20,63.548753,74.456114
30,64.247278,40.715949
40,64.009727,38.199235
50,64.218367,103.760024
60,64.618951,16.235922
70,63.75997,37.577761
80,63.903958,35.975887
90,64.052212,36.839836
100,64.00915,36.40919
110,64.111527,36.427721
120,64.161371,35.466891
130,64.146521,35.072473
140,64.52745,35.553463
150,64.154383,35.792784
160,64.07509,36.667196
170,66.494207,32.875505
180,65.18846,35.980978
190,63.757858,35.12671
200,63.736713,35.990975
210,63.865956,35.289326
220,65.427686,33.050209
230,65.893371,34.501893
240,63.884223,37.145312
250,63.747802,36.579877
260,63.883061,35.920519
270,64.115637,36.101863
280,64.163272,35.684035
290,64.230692,36.202305
300,64.374744,35.276942
310,64.436708,36.601913
320,64.814435,36.184475
330,64.687015,35.457905
340,64.677067,35.41647
350,64.778181,39.177049
360,64.934825,35.844703
370,65.249817,35.114225
380,69.086211,30.287631
390,71.452818,35.172952
400,72.640668,33.92872
410,74.050586,15.697579
420,72.261499,33.225522
430,71.389549,34.060021
440,73.588786,32.697344
450,76,27.136996
460,73.644034,31.256294
470,73.878464,17.116579
480,75.193062,27.640873
490,73.784175,29.949888
500,73.988047,28.058953
