%--------------------------------------------------- 
% Timings: Sat Dec 22 06:02:31 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	1.63840e+04,	2.09715e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	2.56440e+01,	9.13966e+00,	1.65020e+01,	1.73807e-03,	5.68867e-04
1.00000e+01,	1.63840e+04,	2.09715e+06,	1.49887e+06,	1.44658e+06,	3.81316e+01,	6.86711e+01,	5.28134e-01,	1.75335e+01,	1.71590e-03,	5.06077e+01
2.00000e+01,	1.63840e+04,	2.09715e+06,	1.49887e+06,	1.44658e+06,	3.79307e+01,	6.97130e+01,	5.45310e-01,	1.76134e+01,	1.75309e-03,	5.15525e+01
3.00000e+01,	1.63840e+04,	2.09715e+06,	1.49882e+06,	1.44655e+06,	3.86220e+01,	6.71070e+01,	5.69189e-01,	1.76449e+01,	1.73306e-03,	4.88912e+01
4.00000e+01,	1.63840e+04,	2.09715e+06,	1.49882e+06,	1.44657e+06,	3.81282e+01,	6.58869e+01,	5.76530e-01,	1.77389e+01,	1.72186e-03,	4.75697e+01
5.00000e+01,	1.63840e+04,	2.09715e+06,	1.49883e+06,	1.44658e+06,	3.84365e+01,	6.65832e+01,	5.73335e-01,	1.77195e+01,	1.99294e-03,	4.82883e+01
6.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44653e+06,	3.89022e+01,	5.77163e+01,	5.77893e-01,	1.78684e+01,	1.72305e-03,	3.92683e+01
7.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44655e+06,	3.83651e+01,	6.65786e+01,	5.75459e-01,	1.76817e+01,	1.74499e-03,	4.83197e+01
8.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.83594e+01,	6.67887e+01,	5.73354e-01,	1.78350e+01,	1.72091e-03,	4.83786e+01
9.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.85751e+01,	6.71188e+01,	5.76402e-01,	1.76920e+01,	1.72901e-03,	4.88487e+01
1.00000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.84766e+01,	6.59677e+01,	5.86702e-01,	1.78419e+01,	1.73712e-03,	4.75374e+01
1.10000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.84449e+01,	6.60573e+01,	5.69831e-01,	1.77884e+01,	1.71494e-03,	4.76974e+01
1.20000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44657e+06,	3.87985e+01,	6.54319e+01,	5.77867e-01,	1.78467e+01,	1.72400e-03,	4.70056e+01
1.30000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44658e+06,	3.85897e+01,	6.55012e+01,	5.82663e-01,	1.77979e+01,	1.72281e-03,	4.71189e+01
1.40000e+02,	1.63840e+04,	2.09715e+06,	1.49876e+06,	1.44657e+06,	3.87780e+01,	6.50940e+01,	5.76721e-01,	1.78474e+01,	1.76001e-03,	4.66681e+01
1.50000e+02,	1.63840e+04,	2.09715e+06,	1.49876e+06,	1.44658e+06,	3.85742e+01,	6.63761e+01,	5.78708e-01,	1.78395e+01,	1.72210e-03,	4.79561e+01
1.60000e+02,	1.63840e+04,	2.09715e+06,	1.49876e+06,	1.44659e+06,	3.83717e+01,	6.68879e+01,	5.83870e-01,	1.77970e+01,	1.75309e-03,	4.85052e+01
1.70000e+02,	1.63840e+04,	2.09715e+06,	1.49845e+06,	1.44636e+06,	3.98920e+01,	6.53471e+01,	5.97747e-01,	1.78700e+01,	1.74689e-03,	4.68776e+01
1.80000e+02,	1.63840e+04,	2.09715e+06,	1.49843e+06,	1.44634e+06,	3.88413e+01,	6.53194e+01,	5.76352e-01,	1.80696e+01,	1.72806e-03,	4.66718e+01
1.90000e+02,	1.63840e+04,	2.09715e+06,	1.49843e+06,	1.44635e+06,	3.77957e+01,	6.68705e+01,	5.87525e-01,	1.77691e+01,	1.71804e-03,	4.85121e+01
2.00000e+02,	1.63840e+04,	2.09715e+06,	1.49843e+06,	1.44635e+06,	3.80156e+01,	6.60415e+01,	5.86154e-01,	1.77977e+01,	1.72400e-03,	4.76559e+01
2.10000e+02,	1.63840e+04,	2.09715e+06,	1.49843e+06,	1.44635e+06,	3.78561e+01,	6.57543e+01,	5.85403e-01,	1.77653e+01,	1.71900e-03,	4.74019e+01
2.20000e+02,	1.63840e+04,	2.09715e+06,	1.49829e+06,	1.44622e+06,	3.92586e+01,	6.43423e+01,	5.86574e-01,	1.77934e+01,	1.71781e-03,	4.59607e+01
2.30000e+02,	1.63840e+04,	2.09715e+06,	1.49825e+06,	1.44620e+06,	3.96122e+01,	6.34230e+01,	5.82425e-01,	1.78488e+01,	1.73092e-03,	4.49900e+01
2.40000e+02,	1.63840e+04,	2.09715e+06,	1.49825e+06,	1.44620e+06,	3.79744e+01,	6.41745e+01,	5.89308e-01,	1.77118e+01,	1.73903e-03,	4.58716e+01
2.50000e+02,	1.63840e+04,	2.09715e+06,	1.49825e+06,	1.44620e+06,	3.85916e+01,	6.38194e+01,	5.82472e-01,	1.78675e+01,	1.71900e-03,	4.53678e+01
2.60000e+02,	1.63840e+04,	2.09715e+06,	1.49825e+06,	1.44621e+06,	3.80483e+01,	6.44854e+01,	5.80453e-01,	1.77099e+01,	1.71614e-03,	4.61934e+01
2.70000e+02,	1.63840e+04,	2.09715e+06,	1.49825e+06,	1.44621e+06,	3.80853e+01,	6.49191e+01,	5.85814e-01,	1.81093e+01,	1.72114e-03,	4.62223e+01
2.80000e+02,	1.63840e+04,	2.09715e+06,	1.49825e+06,	1.44621e+06,	3.82966e+01,	6.42184e+01,	5.83125e-01,	1.78432e+01,	1.77121e-03,	4.57903e+01
2.90000e+02,	1.63840e+04,	2.09715e+06,	1.49825e+06,	1.44622e+06,	3.80526e+01,	6.48382e+01,	5.82483e-01,	1.78420e+01,	1.72496e-03,	4.64119e+01
3.00000e+02,	1.63840e+04,	2.09715e+06,	1.49825e+06,	1.44622e+06,	3.83034e+01,	6.43878e+01,	5.87092e-01,	1.78175e+01,	1.71614e-03,	4.59815e+01
3.10000e+02,	1.63840e+04,	2.09715e+06,	1.49825e+06,	1.44622e+06,	3.81850e+01,	6.51190e+01,	5.86967e-01,	1.78456e+01,	1.72615e-03,	4.66847e+01
