%--------------------------------------------------- 
% Timings: Thu Dec 20 20:14:18 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	1.63840e+04,	2.09715e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.57642e+01,	5.26469e+00,	1.04970e+01,	2.45786e-03,	6.69956e-05
1.00000e+01,	1.63840e+04,	2.09715e+06,	1.49887e+06,	1.44658e+06,	4.04095e+01,	6.72235e+01,	2.73107e-01,	1.34267e+01,	1.75810e-03,	5.35219e+01
2.00000e+01,	1.63840e+04,	2.09715e+06,	1.49887e+06,	1.44658e+06,	3.96753e+01,	6.38501e+01,	2.64412e-01,	1.35789e+01,	1.72901e-03,	5.00050e+01
3.00000e+01,	1.63840e+04,	2.09715e+06,	1.49882e+06,	1.44655e+06,	3.85936e+01,	6.08148e+01,	2.69727e-01,	1.34726e+01,	1.73211e-03,	4.70708e+01
4.00000e+01,	1.63840e+04,	2.09715e+06,	1.49882e+06,	1.44657e+06,	3.82146e+01,	5.57814e+01,	2.67298e-01,	1.32187e+01,	1.72997e-03,	4.22936e+01
5.00000e+01,	1.63840e+04,	2.09715e+06,	1.49883e+06,	1.44658e+06,	3.85164e+01,	5.31011e+01,	2.70456e-01,	1.30999e+01,	1.72997e-03,	3.97290e+01
6.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44653e+06,	3.88590e+01,	4.43017e+01,	2.71807e-01,	1.36845e+01,	1.72305e-03,	3.03437e+01
7.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44655e+06,	3.83024e+01,	5.33480e+01,	2.70705e-01,	1.26281e+01,	1.73116e-03,	4.04475e+01
8.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.86823e+01,	5.28622e+01,	2.70068e-01,	1.30553e+01,	1.71804e-03,	3.95351e+01
9.00000e+01,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.85602e+01,	5.15480e+01,	2.72088e-01,	1.30082e+01,	1.73688e-03,	3.82659e+01
1.00000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.84869e+01,	5.24932e+01,	2.72983e-01,	1.32264e+01,	1.72186e-03,	3.89921e+01
1.10000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44656e+06,	3.84829e+01,	5.68730e+01,	2.73303e-01,	1.27945e+01,	1.73187e-03,	4.38035e+01
1.20000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44657e+06,	3.88617e+01,	5.29475e+01,	2.73110e-01,	1.36535e+01,	1.72210e-03,	3.90191e+01
1.30000e+02,	1.63840e+04,	2.09715e+06,	1.49877e+06,	1.44658e+06,	3.85233e+01,	5.23632e+01,	2.71810e-01,	1.34733e+01,	1.75500e-03,	3.86164e+01
1.40000e+02,	1.63840e+04,	2.09715e+06,	1.49876e+06,	1.44657e+06,	3.88290e+01,	5.13132e+01,	2.70929e-01,	1.27756e+01,	1.72114e-03,	3.82650e+01
1.50000e+02,	1.63840e+04,	2.09715e+06,	1.49876e+06,	1.44658e+06,	3.85872e+01,	5.17456e+01,	2.68741e-01,	1.28686e+01,	1.72710e-03,	3.86065e+01
1.60000e+02,	1.63840e+04,	2.09715e+06,	1.49876e+06,	1.44659e+06,	3.84213e+01,	5.08117e+01,	2.75535e-01,	1.29651e+01,	1.72901e-03,	3.75694e+01
1.70000e+02,	1.63840e+04,	2.09715e+06,	1.49845e+06,	1.44636e+06,	4.02072e+01,	4.89151e+01,	2.89671e-01,	1.29557e+01,	1.76597e-03,	3.56680e+01
