%--------------------------------------------------- 
% Timings: Tue Dec 18 00:43:13 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	6.55360e+04,	6.55360e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.56718e+01,	4.03876e+00,	1.16304e+01,	1.73211e-03,	9.28879e-04
1.00000e+01,	6.55360e+04,	6.55360e+06,	1.49887e+06,	1.44658e+06,	1.45679e+01,	1.19305e+02,	2.49844e-01,	1.26852e+01,	1.74379e-03,	1.06368e+02
2.00000e+01,	6.55360e+04,	6.55360e+06,	1.49887e+06,	1.44658e+06,	2.47477e+01,	1.05788e+02,	2.50489e-01,	1.29752e+01,	1.74499e-03,	9.25605e+01
3.00000e+01,	6.55360e+04,	6.55360e+06,	1.49882e+06,	1.44655e+06,	3.33595e+01,	9.68795e+01,	2.53756e-01,	1.18365e+01,	2.51698e-03,	8.47867e+01
4.00000e+01,	6.55360e+04,	6.55360e+06,	1.49882e+06,	1.44657e+06,	2.55031e+01,	1.01870e+02,	2.50976e-01,	1.30947e+01,	1.74308e-03,	8.85225e+01
5.00000e+01,	6.55360e+04,	6.55360e+06,	1.49883e+06,	1.44658e+06,	3.52636e+01,	8.68357e+01,	2.54323e-01,	1.23163e+01,	1.74499e-03,	7.42634e+01
6.00000e+01,	6.55360e+04,	6.55360e+06,	1.49877e+06,	1.44653e+06,	1.43411e+01,	7.30316e+01,	2.54946e-01,	1.26069e+01,	1.73903e-03,	6.01680e+01
7.00000e+01,	6.55360e+04,	6.55360e+06,	1.49877e+06,	1.44655e+06,	3.32522e+01,	9.04898e+01,	2.50723e-01,	1.22254e+01,	1.74117e-03,	7.80119e+01
8.00000e+01,	6.55360e+04,	6.55360e+06,	1.49877e+06,	1.44656e+06,	2.60986e+01,	9.60464e+01,	2.50755e-01,	1.21047e+01,	2.01297e-03,	8.36889e+01
9.00000e+01,	6.55360e+04,	6.55360e+06,	1.49877e+06,	1.44656e+06,	4.42991e+01,	7.89908e+01,	2.52178e-01,	1.21861e+01,	1.97792e-03,	6.65505e+01
1.00000e+02,	6.55360e+04,	6.55360e+06,	1.49877e+06,	1.44656e+06,	3.11396e+01,	9.21876e+01,	2.51251e-01,	1.25650e+01,	2.37799e-03,	7.93690e+01
1.10000e+02,	6.55360e+04,	6.55360e+06,	1.49877e+06,	1.44656e+06,	1.78019e+01,	1.05441e+02,	2.50995e-01,	1.21867e+01,	1.73688e-03,	9.30018e+01
1.20000e+02,	6.55360e+04,	6.55360e+06,	1.49877e+06,	1.44657e+06,	4.06659e+01,	8.33829e+01,	2.50891e-01,	1.22330e+01,	1.73497e-03,	7.08972e+01
1.30000e+02,	6.55360e+04,	6.55360e+06,	1.49877e+06,	1.44658e+06,	2.65952e+01,	9.59999e+01,	2.51692e-01,	1.26452e+01,	1.74403e-03,	8.31013e+01
1.40000e+02,	6.55360e+04,	6.55360e+06,	1.49876e+06,	1.44657e+06,	2.67625e+01,	9.78720e+01,	2.51766e-01,	1.27475e+01,	2.42019e-03,	8.48703e+01
1.50000e+02,	6.55360e+04,	6.55360e+06,	1.49876e+06,	1.44658e+06,	3.63347e+01,	8.57322e+01,	2.50844e-01,	1.23938e+01,	1.74308e-03,	7.30859e+01
1.60000e+02,	6.55360e+04,	6.55360e+06,	1.49876e+06,	1.44659e+06,	2.35045e+01,	9.92549e+01,	2.51190e-01,	1.24855e+01,	2.31194e-03,	8.65159e+01
1.70000e+02,	6.55360e+04,	6.55360e+06,	1.49845e+06,	1.44636e+06,	4.29719e+01,	7.85572e+01,	2.69191e-01,	1.22744e+01,	1.78480e-03,	6.60118e+01
1.80000e+02,	6.55360e+04,	6.55360e+06,	1.49843e+06,	1.44634e+06,	3.55069e+01,	8.57361e+01,	2.50569e-01,	1.22021e+01,	1.74689e-03,	7.32817e+01
1.90000e+02,	6.55360e+04,	6.55360e+06,	1.49843e+06,	1.44635e+06,	1.37291e+01,	1.07048e+02,	2.62274e-01,	1.25721e+01,	2.01702e-03,	9.42116e+01
2.00000e+02,	6.55360e+04,	6.55360e+06,	1.49843e+06,	1.44635e+06,	3.60690e+01,	8.47453e+01,	2.50748e-01,	1.23579e+01,	1.74499e-03,	7.21349e+01
2.10000e+02,	6.55360e+04,	6.55360e+06,	1.49843e+06,	1.44635e+06,	3.66764e+01,	8.36442e+01,	2.51490e-01,	1.20862e+01,	1.74403e-03,	7.13047e+01
2.20000e+02,	6.55360e+04,	6.55360e+06,	1.49829e+06,	1.44621e+06,	2.93369e+01,	9.06407e+01,	2.59298e-01,	1.25567e+01,	1.75500e-03,	7.78229e+01
2.30000e+02,	6.55360e+04,	6.55360e+06,	1.49825e+06,	1.44620e+06,	3.01435e+01,	8.59113e+01,	2.52736e-01,	1.24747e+01,	1.73903e-03,	7.31821e+01
2.40000e+02,	6.55360e+04,	6.55360e+06,	1.49825e+06,	1.44620e+06,	1.38337e+01,	1.04325e+02,	2.51138e-01,	1.28914e+01,	2.26307e-03,	9.11799e+01
2.50000e+02,	6.55360e+04,	6.55360e+06,	1.49825e+06,	1.44620e+06,	3.22062e+01,	8.34702e+01,	2.51326e-01,	1.22325e+01,	1.74809e-03,	7.09847e+01
2.60000e+02,	6.55360e+04,	6.55360e+06,	1.49825e+06,	1.44621e+06,	2.47810e+01,	9.13667e+01,	2.52204e-01,	1.26271e+01,	2.51889e-03,	7.84849e+01
2.70000e+02,	6.55360e+04,	6.55360e+06,	1.49825e+06,	1.44621e+06,	1.98323e+01,	9.57613e+01,	2.51305e-01,	1.19180e+01,	1.74308e-03,	8.35902e+01
2.80000e+02,	6.55360e+04,	6.55360e+06,	1.49825e+06,	1.44621e+06,	4.42484e+01,	7.18628e+01,	2.50762e-01,	1.25713e+01,	1.77503e-03,	5.90390e+01
2.90000e+02,	6.55360e+04,	6.55360e+06,	1.49825e+06,	1.44622e+06,	3.61241e+01,	7.93219e+01,	2.51385e-01,	1.21153e+01,	1.74093e-03,	6.69535e+01
3.00000e+02,	6.55360e+04,	6.55360e+06,	1.49825e+06,	1.44622e+06,	2.73561e+01,	8.79430e+01,	2.51167e-01,	1.24981e+01,	1.75881e-03,	7.51920e+01
3.10000e+02,	6.55360e+04,	6.55360e+06,	1.49825e+06,	1.44622e+06,	2.57927e+01,	9.08147e+01,	2.51373e-01,	1.22315e+01,	1.74093e-03,	7.83301e+01
