%  ./pipe-5-00128   ./pipe-5-00128/extracted_timings-e750486.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  74.9056859 ,  70.76961 ,  80.949191 ,  3.07655235523102 
% PVSPY_VIZ_TIMINGS ,  3.39906076 ,  3.274948 ,  3.701573 ,  0.0874723476264823 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,70.795578,3.701573
20,70.912651,3.605911
30,70.893653,3.568346
40,70.76961,3.548885
50,70.847432,3.540125
60,71.07332,3.52928
70,72.922408,3.576077
80,71.711987,3.371515
90,70.827743,3.373352
100,71.244336,3.365898
110,71.231716,3.38241
120,71.311853,3.356535
130,71.147064,3.507299
140,71.32154,3.360728
150,71.772349,3.367781
160,72.195674,3.345687
170,72.061576,3.352123
180,72.482317,3.342043
190,72.596755,3.344015
200,73.610033,3.382636
210,74.504605,3.399158
220,74.679282,3.420747
230,74.581649,3.401786
240,74.885103,3.379921
250,75.521063,3.366094
260,76.294523,3.382143
270,77.058884,3.350543
280,76.206447,3.345419
290,76.375628,3.366212
300,78.278115,3.381278
310,76.803642,3.405921
320,77.274979,3.464973
330,77.686958,3.381811
340,77.477894,3.462403
350,76.827627,3.405179
360,77.508928,3.398615
370,76.849055,3.383556
380,76.401664,3.403362
390,76.055711,3.369757
400,76.54262,3.390633
410,76.534003,3.353751
420,76.650418,3.320933
430,76.187139,3.317121
440,77.662742,3.323426
450,78.254097,3.324253
460,78.626345,3.292914
470,79.559242,3.33108
480,80.654102,3.274948
490,80.663044,3.33933
500,80.949191,3.293552
