>>>>  amr-file-hpctoolkit/pipe-5-00128/hpctoolkit-mpicth-database-718964/experiment.csv 
Function  , sum  , mean  , min  , max  
MPI_Barrier , 4.16214433E10 , 1.0489275025201613E7 , 11897.0 , 1.11176E8
MPI_Barrier , 8.82748E8 , 6896468.75 , 4864360.0 , 7678080.0
MPI_Bcast , 4.18666E7 , 327082.8125 , 273546.0 , 358020.0
MPI_Bcast , 2.82616E8 , 2207937.5 , 119766.0 , 1.17017E7
MPI_Bcast , 1.7347315E8 , 104250.69110576923 , 21974.0 , 1331600.0
MPI_Finalize , 4.6511E7 , 363367.1875 , 11963.0 , 704490.0
MPI_Recv , 7.28620624E9 , 1626385.3214285714 , 11800.0 , 1.24178E8
MPI_Send , 4.52105849E10 , 9811324.848090278 , 11947.0 , 1.42675E8
MPI_Type_commit , 1.4638088E8 , 71475.0390625 , 11930.0 , 358889.0
MPI_Type_commit , 1.297927E7 , 50700.2734375 , 11942.0 , 167422.0
amrini_ , 3.69032E10 , 2.8830625E8 , 2.88285E8 , 2.88337E8
cth , 5.338E11 , 4.1703125E9 , 4.16871E9 , 4.17215E9
initvtkCoProcessorPython , 5955400.0 , 46526.5625 , 2771960.0 , 3183440.0
pvspy_fil , 7.19987E9 , 5.6248984375E7 , 5.46031E7 , 5.9814E7
pvspy_stb , 2.18538E7 , 170732.8125 , 34930.0 , 538432.0
spy_file_out , 1.45234E9 , 1.134640625E7 , 9898440.0 , 1.18414E7
<<<< 
>>>>  amr-file-hpctoolkit/pipe-5-00128/hpctoolkit-mpicth-database-719248/experiment.csv 
Function  , sum  , mean  , min  , max  
MPI_Barrier , 4.116873767E10 , 1.0050961345214844E7 , 11927.0 , 1.06623E8
MPI_Barrier , 3.0446E9 , 2.37859375E7 , 1.3147E7 , 2.45978E7
MPI_Bcast , 1.2302655E8 , 240286.23046875 , 34613.0 , 587951.0
MPI_Bcast , 1.55088E7 , 121162.5 , 8853.0 , 511483.0
MPI_Bcast , 7645210.0 , 59728.203125 , 45321.0 , 86811.0
MPI_Finalize , 4.61183E7 , 360299.21875 , 11971.0 , 698769.0
MPI_Recv , 6.91550496E9 , 1589040.6617647058 , 11874.0 , 1.24826E8
MPI_Send , 4.531853335E10 , 9834751.161024306 , 11949.0 , 1.39627E8
MPI_Type_commit , 1.4415497E8 , 70388.1689453125 , 11919.0 , 370737.0
MPI_Type_commit , 1.201251E7 , 46923.8671875 , 11927.0 , 131540.0
amrini_ , 3.68962E10 , 2.882515625E8 , 2.88224E8 , 2.88276E8
cth , 5.27505E11 , 4.1211328125E9 , 4.11959E9 , 4.12281E9
pvspy_fil , 6.19919E8 , 4843117.1875 , 4684110.0 , 4882530.0
pvspy_stb , 3.17231E7 , 247836.71875 , 82845.0 , 554776.0
spy_file_out , 3.53866E9 , 2.764578125E7 , 1.73572E7 , 2.83266E7
<<<< 
>>>>  amr-file-hpctoolkit/pipe-5-00128/extracted_timings-e718964.csv 
%  amr-file-hpctoolkit/pipe-5-00128   amr-file-hpctoolkit/pipe-5-00128/extracted_timings-e718964.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  75.16243086 ,  71.05758 ,  81.189392 ,  3.04100423328744 
% PVSPY_VIZ_TIMINGS ,  6.29e-05 ,  5.1e-05 ,  0.000281 ,  3.15589826793435e-05 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,71.095633,6.3e-05
20,71.108499,6.3e-05
30,71.195624,6.1e-05
40,71.05758,6.3e-05
50,71.396878,5.7e-05
60,71.223522,6.2e-05
70,73.780576,5.8e-05
80,72.072752,5.7e-05
90,71.145854,5.7e-05
100,71.596549,5.8e-05
110,71.384306,5.1e-05
120,71.538156,5.7e-05
130,71.401864,5.8e-05
140,71.626414,5.8e-05
150,71.816975,5.7e-05
160,72.451277,5.7e-05
170,73.213864,5.7e-05
180,72.620764,5.7e-05
190,72.776699,6e-05
200,73.780574,5.6e-05
210,75.152733,5.8e-05
220,74.817402,0.000281
230,74.674918,5.9e-05
240,75.044536,5.9e-05
250,75.67911,5.8e-05
260,76.374516,5.5e-05
270,77.045355,5.9e-05
280,76.245564,5.5e-05
290,76.549154,6e-05
300,78.492779,5.9e-05
310,77.006928,6.2e-05
320,77.521636,5.9e-05
330,78.706678,6e-05
340,77.520977,5.7e-05
350,77.073446,6e-05
360,77.732284,5.8e-05
370,76.984705,5.9e-05
380,76.373974,5.8e-05
390,76.100775,5.5e-05
400,76.572162,6.2e-05
410,76.595306,5.7e-05
420,76.841761,6.1e-05
430,77.02198,5.7e-05
440,77.768236,5.7e-05
450,78.330108,5.9e-05
460,78.803346,5.6e-05
470,79.801003,5.9e-05
480,80.899823,5.8e-05
490,80.916596,6e-05
500,81.189392,6.1e-05
<<<< 
>>>>  amr-file-hpctoolkit/pipe-5-00128/extracted_timings-e719248.csv 
%  amr-file-hpctoolkit/pipe-5-00128   amr-file-hpctoolkit/pipe-5-00128/extracted_timings-e719248.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  74.9590809 ,  70.842067 ,  81.182751 ,  3.04441065509086 
% PVSPY_VIZ_TIMINGS ,  7.046e-05 ,  6.1e-05 ,  0.000235 ,  2.38868164475721e-05 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,70.937992,6.9e-05
20,70.842067,7e-05
30,71.014586,6.4e-05
40,71.67986,7.1e-05
50,71.029759,7.1e-05
60,71.211568,7.3e-05
70,73.115688,6.7e-05
80,72.081114,6.8e-05
90,71.153464,6.6e-05
100,71.238255,6.7e-05
110,71.215454,6.1e-05
120,71.340328,6.2e-05
130,71.166709,7e-05
140,71.399512,6.9e-05
150,71.637094,6.5e-05
160,72.287423,6.1e-05
170,72.114589,7e-05
180,72.683209,6.6e-05
190,72.612818,6.8e-05
200,74.376358,6.7e-05
210,74.346342,6.8e-05
220,74.528589,6.3e-05
230,74.353531,7e-05
240,74.71317,6.4e-05
250,75.307952,6.7e-05
260,76.176482,6.7e-05
270,77.46563,6.9e-05
280,75.916374,6.3e-05
290,76.152635,6.8e-05
300,78.056858,6.9e-05
310,76.613456,6.7e-05
320,77.129987,6.5e-05
330,77.406159,6.3e-05
340,77.294068,6.9e-05
350,76.833498,6.7e-05
360,77.606972,6.7e-05
370,76.93298,6.7e-05
380,76.267499,6.8e-05
390,75.987255,0.000235
400,76.478771,6.8e-05
410,76.548454,6.8e-05
420,76.699794,6.8e-05
430,76.321691,6.6e-05
440,77.722603,6.6e-05
450,78.25146,6.7e-05
460,78.660047,6.8e-05
470,80.355317,7.1e-05
480,80.75507,6.6e-05
490,80.750803,6.9e-05
500,81.182751,6.5e-05
<<<< 
>>>>  amr-file-hpctoolkit/pipe-5-00256/hpctoolkit-mpicth-database-718959/experiment.csv 
Function  , sum  , mean  , min  , max  
MPI_Barrier , 9.008690243E10 , 9775054.517144097 , 10389.0 , 1.08368E8
MPI_Barrier , 4.16059E9 , 1.62523046875E7 , 660916.0 , 2.13047E7
MPI_Bcast , 2.7982983E8 , 109308.52734375 , 11010.0 , 765330.0
MPI_Bcast , 9.60657E8 , 3752566.40625 , 47856.0 , 1.08189E7
MPI_Bcast , 2.3689144E8 , 51408.73263888889 , 22238.0 , 332001.0
MPI_Finalize , 9.39984E7 , 367181.25 , 10406.0 , 701439.0
MPI_Recv , 1.175236983E10 , 976759.4606050532 , 10810.0 , 3.99117E7
MPI_Send , 5.784222627E10 , 5793492.214543269 , 10537.0 , 5.59406E7
MPI_Type_commit , 2.5659854E8 , 43579.915081521736 , 11882.0 , 250946.0
MPI_Type_commit , 2.890702E7 , 37639.348958333336 , 11921.0 , 131557.0
MPI_Type_struct , 8091080.0 , 31605.78125 , 11921.0 , 95637.0
amrini_ , 4.60727E10 , 1.79971484375E8 , 1.79937E8 , 1.79997E8
cth , 6.22629E11 , 2.43214453125E9 , 2.43139E9 , 2.43302E9
initvtkCoProcessorPython , 9163320.0 , 35794.21875 , 2183910.0 , 3555430.0
pvspy_fil , 1.54719E10 , 6.0437109375E7 , 5.9591E7 , 6.34659E7
pvspy_stb , 2.50083E7 , 97688.671875 , 11972.0 , 293935.0
spy_file_out , 4.74897E9 , 1.85506640625E7 , 4813820.0 , 2.31874E7
<<<< 
>>>>  amr-file-hpctoolkit/pipe-5-00256/extracted_timings-e718959.csv 
%  amr-file-hpctoolkit/pipe-5-00256   amr-file-hpctoolkit/pipe-5-00256/extracted_timings-e718959.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  42.6154886 ,  37.198613 ,  48.694323 ,  3.8085493324417 
% PVSPY_VIZ_TIMINGS ,  5.264e-05 ,  4.9e-05 ,  5.9e-05 ,  2.15482372971026e-06 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,40.162223,5.3e-05
20,37.198613,5.4e-05
30,37.885499,5.3e-05
40,37.553856,5.5e-05
50,38.196604,5.3e-05
60,37.318744,5.4e-05
70,39.597866,5.9e-05
80,38.206122,5.7e-05
90,37.478254,5e-05
100,37.680075,5.4e-05
110,37.734461,5.3e-05
120,37.830829,5.2e-05
130,37.687272,5.1e-05
140,37.90581,5.4e-05
150,38.173691,5.1e-05
160,38.75791,5.1e-05
170,38.657698,5.2e-05
180,39.131071,5.3e-05
190,39.898661,5.2e-05
200,42.822768,5.4e-05
210,44.693078,5e-05
220,44.181294,5.1e-05
230,43.81055,5.5e-05
240,45.067979,5.3e-05
250,45.785893,5.5e-05
260,44.93849,5.1e-05
270,46.10395,5.1e-05
280,44.083418,5.3e-05
290,44.249159,4.9e-05
300,45.266745,5.1e-05
310,43.806422,5.6e-05
320,44.258573,5.1e-05
330,44.524902,5.4e-05
340,43.637164,5.4e-05
350,43.423842,5.2e-05
360,43.809885,5e-05
370,44.018406,5.5e-05
380,43.504923,5e-05
390,42.433072,5.5e-05
400,42.740711,5.2e-05
410,44.086696,5e-05
420,47.753636,4.9e-05
430,47.357202,5.5e-05
440,47.983761,5.3e-05
450,47.65079,5.2e-05
460,47.636755,5.3e-05
