>>>>  amr_in-situ-opt/pipe-5-01024/extracted_timings-e653628.csv 
%  ./pipe-5-01024   ./pipe-5-01024/extracted_timings-e653628.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  90.33432676 ,  11.442097 ,  276.024288 ,  67.2746928209223 
% PVSPY_VIZ_TIMINGS ,  1.29922816 ,  0.897015 ,  1.953687 ,  0.286271337428882 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,276.024288,1.57107
20,73.323943,1.65668
30,99.317524,0.955059
40,11.442097,1.392124
50,101.330243,1.370742
60,15.636138,1.204638
70,102.822879,1.015289
80,97.87695,1.361111
90,13.961948,1.007923
100,94.204586,1.289342
110,14.651852,1.953687
120,96.200546,0.960479
130,19.194537,1.244729
140,101.996289,0.922593
150,12.040111,1.072323
160,103.968601,1.344155
170,22.854512,0.90415
180,108.20001,0.927383
190,147.594862,1.40257
200,174.481888,0.925628
210,191.183778,1.512675
220,21.696319,0.925334
230,109.845766,1.228199
240,104.686763,1.217319
250,21.909299,1.88743
260,112.335015,1.191395
270,252.46052,1.347217
280,24.026472,1.468015
290,191.833408,1.390156
300,14.042429,0.897015
310,99.532144,1.529213
320,98.402123,1.252533
330,104.898035,0.958053
340,126.584106,1.520014
350,192.656437,0.936851
360,14.156249,0.984729
370,102.790031,1.542848
380,25.214421,1.460924
390,17.863485,1.532422
400,23.743535,1.654905
410,187.56274,1.494452
420,24.709094,1.474486
430,106.099173,1.788187
440,104.024782,1.426499
450,102.838448,1.555828
460,21.352259,0.899324
470,107.106012,0.95034
480,200.851787,1.29094
490,18.946973,1.496652
500,106.240931,1.665778
<<<< 
>>>>  amr_in-situ-opt/pipe-5-01024/extracted_timings-e657049.csv 
%  ./pipe-5-01024   ./pipe-5-01024/extracted_timings-e657049.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  13.005789 ,  11.458939 ,  14.198097 ,  0.922424579961784 
% PVSPY_VIZ_TIMINGS ,  0.93372446 ,  0.879369 ,  1.038864 ,  0.0374388922859692 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,11.458939,0.981004
20,11.489188,0.968683
30,11.566996,0.966104
40,11.510061,1.038864
50,11.731494,1.02663
60,11.776633,0.910126
70,12.321606,0.911825
80,11.904096,1.024013
90,11.666994,0.934646
100,11.785936,0.925831
110,11.916197,0.912689
120,11.894383,0.913631
130,11.839423,0.913743
140,11.917698,0.919336
150,12.072529,0.924034
160,12.384115,0.971417
170,12.30367,0.896876
180,12.547265,0.91496
190,12.596257,0.915684
200,12.772423,0.917975
210,13.116706,0.895705
220,13.12743,0.89115
230,13.014546,0.904697
240,13.162197,0.892101
250,13.184188,0.879369
260,13.498758,0.906458
270,13.818684,0.907358
280,13.456377,0.904147
290,13.487555,0.916719
300,13.967602,0.94923
310,13.652962,0.945373
320,13.970955,0.973427
330,14.148326,0.955644
340,13.907199,0.964344
350,13.773667,0.947338
360,14.176131,0.951194
370,14.079783,0.926304
380,13.619339,0.893637
390,13.563953,0.918834
400,13.635916,0.908965
410,13.594777,0.911188
420,13.830085,1.020215
430,13.636842,0.967605
440,13.936533,0.926545
450,13.713589,0.91032
460,13.650184,0.8954
470,13.880795,0.960896
480,14.198097,0.928622
490,14.010283,0.918991
500,14.020088,0.926376
<<<< 
>>>>  amr_in-situ-opt/pipe-5-00512/extracted_timings-e653655.csv 
