>>>>  amr_in-transit-hpctoolkit/failed/client_timings-670540.csv 
%--------------------------------------------------- 
% Timings: Fri Dec 21 17:07:25 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	1.02400e+03,	5.24288e+05,	2.18510e+05,	2.07712e+05,	0.00000e+00,	1.34165e+01,	4.13781e+00,	9.23800e+00,	3.25608e-03,	3.74670e-02
<<<< 
>>>>  amr_in-transit-hpctoolkit/failed/client_timings-670560.csv 
%--------------------------------------------------- 
% Timings: Sun Dec 23 09:04:18 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	3.27680e+04,	3.27680e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	1.09993e+01,	2.89591e+00,	8.06226e+00,	1.91178e-02,	2.20480e-02
1.00000e+01,	3.27680e+04,	3.27680e+06,	1.49887e+06,	1.44658e+06,	3.20085e+01,	9.59807e+01,	1.48235e-01,	7.93625e+00,	1.18110e-02,	8.78844e+01
2.00000e+01,	3.27680e+04,	3.27680e+06,	1.49887e+06,	1.44658e+06,	2.43666e+01,	9.58549e+01,	1.28284e-01,	7.88254e+00,	1.82920e-02,	8.78258e+01
3.00000e+01,	3.27680e+04,	3.27680e+06,	1.49882e+06,	1.44655e+06,	2.43955e+01,	9.78523e+01,	1.40695e-01,	8.02919e+00,	2.72107e-03,	8.96797e+01
4.00000e+01,	3.27680e+04,	3.27680e+06,	1.49882e+06,	1.44657e+06,	2.49124e+01,	8.90964e+01,	1.29773e-01,	8.05033e+00,	2.60401e-03,	8.09137e+01
5.00000e+01,	3.27680e+04,	3.27680e+06,	1.49883e+06,	1.44658e+06,	2.36848e+01,	9.10040e+01,	1.74799e-01,	8.02440e+00,	2.70391e-03,	8.28021e+01
6.00000e+01,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44653e+06,	2.57674e+01,	5.70184e+01,	1.31994e-01,	8.05037e+00,	1.68612e-02,	4.88192e+01
7.00000e+01,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44655e+06,	2.49887e+01,	8.96312e+01,	1.27932e-01,	8.04096e+00,	3.20101e-03,	8.14591e+01
8.00000e+01,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44656e+06,	2.37362e+01,	8.95253e+01,	1.28365e-01,	8.03588e+00,	3.35288e-03,	8.13577e+01
9.00000e+01,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44656e+06,	2.52927e+01,	8.78401e+01,	1.27924e-01,	8.06459e+00,	2.71201e-03,	7.96449e+01
1.00000e+02,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44656e+06,	2.41545e+01,	9.00277e+01,	1.28014e-01,	8.05684e+00,	8.10695e-03,	8.18347e+01
1.10000e+02,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44656e+06,	2.49618e+01,	8.83106e+01,	1.27820e-01,	8.04827e+00,	2.70915e-03,	8.01318e+01
1.20000e+02,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44657e+06,	2.41151e+01,	8.95160e+01,	1.51113e-01,	8.07849e+00,	2.59304e-03,	8.12838e+01
1.30000e+02,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44658e+06,	2.50421e+01,	8.88192e+01,	1.27973e-01,	8.08081e+00,	2.79188e-03,	8.06076e+01
1.40000e+02,	3.27680e+04,	3.27680e+06,	1.49876e+06,	1.44657e+06,	2.44720e+01,	8.86582e+01,	1.27806e-01,	8.06460e+00,	2.70891e-03,	8.04631e+01
1.50000e+02,	3.27680e+04,	3.27680e+06,	1.49876e+06,	1.44658e+06,	2.53202e+01,	8.84833e+01,	1.27896e-01,	8.11448e+00,	1.41160e-02,	8.02269e+01
1.60000e+02,	3.27680e+04,	3.27680e+06,	1.49876e+06,	1.44659e+06,	2.27689e+01,	9.03765e+01,	1.27787e-01,	8.01072e+00,	9.83000e-03,	8.22282e+01
1.70000e+02,	3.27680e+04,	3.27680e+06,	1.49845e+06,	1.44636e+06,	2.61421e+01,	8.78569e+01,	1.48666e-01,	8.08253e+00,	2.70104e-03,	7.96230e+01
1.80000e+02,	3.27680e+04,	3.27680e+06,	1.49843e+06,	1.44634e+06,	2.50485e+01,	8.74698e+01,	1.46163e-01,	8.04792e+00,	6.07590e-01,	7.86681e+01
1.90000e+02,	3.27680e+04,	3.27680e+06,	1.49843e+06,	1.44635e+06,	2.55041e+01,	8.60857e+01,	1.38940e-01,	7.98615e+00,	1.09301e-02,	7.79497e+01
2.00000e+02,	3.27680e+04,	3.27680e+06,	1.49843e+06,	1.44635e+06,	2.40739e+01,	8.72374e+01,	1.43005e-01,	8.08704e+00,	2.67639e-02,	7.89806e+01
2.10000e+02,	3.27680e+04,	3.27680e+06,	1.49843e+06,	1.44635e+06,	2.42946e+01,	8.76379e+01,	1.56018e-01,	7.98157e+00,	2.83501e-02,	7.94720e+01
2.20000e+02,	3.27680e+04,	3.27680e+06,	1.49829e+06,	1.44622e+06,	2.49332e+01,	8.59429e+01,	1.60391e-01,	7.96975e+00,	2.72202e-03,	7.78100e+01
2.30000e+02,	3.27680e+04,	3.27680e+06,	1.49826e+06,	1.44620e+06,	2.54640e+01,	8.70271e+01,	1.41373e-01,	8.08708e+00,	1.46220e-02,	7.87841e+01
<<<< 
>>>>  amr_in-transit-hpctoolkit/failed/client_timings-670561.csv 
%--------------------------------------------------- 
% Timings: Mon Dec 24 19:04:30 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	3.27680e+04,	3.27680e+06,	1.49887e+06,	1.44658e+06,	0.00000e+00,	9.50427e+00,	3.02648e+00,	6.40863e+00,	3.43010e-02,	3.48592e-02
1.00000e+01,	3.27680e+04,	3.27680e+06,	1.49887e+06,	1.44658e+06,	3.10978e+01,	9.45410e+01,	1.33550e-01,	5.80839e+00,	2.96402e-03,	8.85961e+01
2.00000e+01,	3.27680e+04,	3.27680e+06,	1.49887e+06,	1.44658e+06,	2.32610e+01,	9.57936e+01,	1.61706e-01,	5.82865e+00,	2.50006e-03,	8.98008e+01
3.00000e+01,	3.27680e+04,	3.27680e+06,	1.49882e+06,	1.44655e+06,	2.37672e+01,	9.54491e+01,	1.47968e-01,	5.85886e+00,	1.19040e-02,	8.94304e+01
4.00000e+01,	3.27680e+04,	3.27680e+06,	1.49882e+06,	1.44657e+06,	2.43267e+01,	8.84958e+01,	1.28430e-01,	5.92809e+00,	2.75612e-03,	8.24365e+01
5.00000e+01,	3.27680e+04,	3.27680e+06,	1.49883e+06,	1.44658e+06,	2.34868e+01,	8.79773e+01,	1.48992e-01,	5.85651e+00,	2.72989e-03,	8.19690e+01
6.00000e+01,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44653e+06,	2.53306e+01,	5.54520e+01,	1.52580e-01,	5.88347e+00,	2.69723e-03,	4.94132e+01
7.00000e+01,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44655e+06,	2.45352e+01,	8.81773e+01,	1.42860e-01,	5.78399e+00,	2.76589e-03,	8.22477e+01
8.00000e+01,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44656e+06,	2.31541e+01,	8.93740e+01,	1.46869e-01,	5.78770e+00,	1.53930e-02,	8.34240e+01
9.00000e+01,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44656e+06,	2.41867e+01,	8.71439e+01,	1.29905e-01,	5.95068e+00,	2.75207e-03,	8.10606e+01
1.00000e+02,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44656e+06,	2.31381e+01,	8.91688e+01,	1.56505e-01,	5.64388e+00,	1.30529e-02,	8.33553e+01
1.10000e+02,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44656e+06,	2.47729e+01,	8.65320e+01,	1.49977e-01,	5.87462e+00,	2.74706e-03,	8.05047e+01
1.20000e+02,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44657e+06,	2.33281e+01,	8.87327e+01,	1.41288e-01,	5.85242e+00,	1.78249e-02,	8.27212e+01
1.30000e+02,	3.27680e+04,	3.27680e+06,	1.49877e+06,	1.44658e+06,	2.59307e+01,	8.51005e+01,	1.53845e-01,	5.82695e+00,	2.69985e-03,	7.91170e+01
1.40000e+02,	3.27680e+04,	3.27680e+06,	1.49876e+06,	1.44657e+06,	2.35627e+01,	8.77556e+01,	1.73292e-01,	5.85157e+00,	1.72310e-02,	8.17135e+01
1.50000e+02,	3.27680e+04,	3.27680e+06,	1.49876e+06,	1.44658e+06,	2.47098e+01,	8.81372e+01,	1.43292e-01,	5.82445e+00,	2.27079e-02,	8.21467e+01
1.60000e+02,	3.27680e+04,	3.27680e+06,	1.49876e+06,	1.44659e+06,	2.32850e+01,	8.76883e+01,	1.42975e-01,	5.77566e+00,	7.74479e-03,	8.17619e+01
1.70000e+02,	3.27680e+04,	3.27680e+06,	1.49845e+06,	1.44636e+06,	2.61406e+01,	8.49811e+01,	1.61563e-01,	5.86299e+00,	2.67911e-03,	7.89538e+01
1.80000e+02,	3.27680e+04,	3.27680e+06,	1.49843e+06,	1.44634e+06,	2.51241e+01,	8.44922e+01,	1.33938e-01,	5.71433e+00,	2.70414e-03,	7.86412e+01
1.90000e+02,	3.27680e+04,	3.27680e+06,	1.49843e+06,	1.44635e+06,	2.43384e+01,	8.50913e+01,	1.28612e-01,	5.82812e+00,	2.44610e-02,	7.91102e+01
2.00000e+02,	3.27680e+04,	3.27680e+06,	1.49843e+06,	1.44635e+06,	2.30059e+01,	8.59887e+01,	1.28196e-01,	5.90667e+00,	2.64406e-03,	7.99512e+01
2.10000e+02,	3.27680e+04,	3.27680e+06,	1.49843e+06,	1.44635e+06,	2.31099e+01,	8.69362e+01,	1.33748e-01,	6.60595e+00,	1.03549e-01,	8.00929e+01
2.20000e+02,	3.27680e+04,	3.27680e+06,	1.49829e+06,	1.44622e+06,	2.66028e+01,	8.23864e+01,	1.50222e-01,	5.82244e+00,	2.82407e-03,	7.64109e+01
2.30000e+02,	3.27680e+04,	3.27680e+06,	1.49826e+06,	1.44620e+06,	2.50889e+01,	8.38558e+01,	1.69759e-01,	6.07732e+00,	1.49181e-02,	7.75938e+01
2.40000e+02,	3.27680e+04,	3.27680e+06,	1.49825e+06,	1.44620e+06,	2.45161e+01,	8.49796e+01,	1.28305e-01,	5.80394e+00,	1.30460e-02,	7.90343e+01
2.50000e+02,	3.27680e+04,	3.27680e+06,	1.49825e+06,	1.44620e+06,	2.31087e+01,	8.74781e+01,	1.40524e-01,	6.56264e+00,	1.77670e-02,	8.07572e+01
2.60000e+02,	3.27680e+04,	3.27680e+06,	1.49825e+06,	1.44621e+06,	2.40021e+01,	8.47599e+01,	1.45037e-01,	6.01700e+00,	2.18260e-02,	7.85760e+01
2.70000e+02,	3.27680e+04,	3.27680e+06,	1.49825e+06,	1.44621e+06,	2.31061e+01,	8.63759e+01,	1.44587e-01,	5.95778e+00,	1.19350e-02,	8.02616e+01
2.80000e+02,	3.27680e+04,	3.27680e+06,	1.49825e+06,	1.44621e+06,	2.48397e+01,	8.56578e+01,	1.41670e-01,	6.53196e+00,	2.78187e-03,	7.89814e+01
2.90000e+02,	3.27680e+04,	3.27680e+06,	1.49825e+06,	1.44622e+06,	2.30409e+01,	8.61891e+01,	1.41562e-01,	6.06343e+00,	3.69699e-02,	7.99471e+01
3.00000e+02,	3.27680e+04,	3.27680e+06,	1.49825e+06,	1.44622e+06,	2.42845e+01,	8.52304e+01,	1.27914e-01,	7.11173e+00,	1.08840e-02,	7.79799e+01
3.10000e+02,	3.27680e+04,	3.27680e+06,	1.49825e+06,	1.44622e+06,	2.30260e+01,	8.64746e+01,	1.44476e-01,	5.94192e+00,	1.56801e-02,	8.03725e+01
3.20000e+02,	3.27680e+04,	3.27680e+06,	1.49825e+06,	1.44623e+06,	2.30880e+01,	8.63863e+01,	1.28281e-01,	6.84746e+00,	2.20203e-03,	7.94083e+01
3.30000e+02,	3.27680e+04,	3.27680e+06,	1.49825e+06,	1.44623e+06,	2.31792e+01,	8.67308e+01,	1.27752e-01,	5.97406e+00,	1.68970e-02,	8.06121e+01
3.40000e+02,	3.27680e+04,	3.27680e+06,	1.49825e+06,	1.44624e+06,	2.31567e+01,	8.68228e+01,	1.55698e-01,	6.90681e+00,	1.44539e-02,	7.97458e+01
3.50000e+02,	3.27680e+04,	3.27680e+06,	1.49825e+06,	1.44624e+06,	2.43965e+01,	8.47244e+01,	1.56861e-01,	5.85223e+00,	2.50070e-02,	7.86903e+01
3.60000e+02,	3.27680e+04,	3.27680e+06,	1.49825e+06,	1.44625e+06,	2.36238e+01,	8.68261e+01,	1.60829e-01,	7.02654e+00,	3.39046e-01,	7.92997e+01
