>>>>  amr_in-situ-unopt/pipe-5-00128/extracted_timings-e635311.csv 
%  ./pipe-5-00128   ./pipe-5-00128/extracted_timings-e635311.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  75.4958754 ,  71.213649 ,  81.523772 ,  3.0196803081574 
% PVSPY_VIZ_TIMINGS ,  3.47765242 ,  3.288374 ,  4.5546 ,  0.192528421473361 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,71.213649,3.681203
20,71.752183,3.682603
30,71.305851,3.676928
40,72.051681,3.696142
50,72.135827,3.825858
60,71.293426,3.675991
70,73.289437,3.61003
80,72.231468,3.508432
90,72.15639,3.516095
100,71.651882,3.501307
110,71.690734,3.514063
120,71.951749,3.503732
130,71.675618,3.485029
140,71.805773,3.468537
150,72.264859,3.478754
160,73.755262,3.46465
170,72.532525,3.452245
180,73.660182,3.477431
190,73.411985,4.5546
200,74.049064,3.441107
210,74.925575,3.444021
220,75.117123,3.436245
230,74.936176,3.437211
240,75.344483,3.428679
250,75.908035,3.417798
260,76.712416,3.419029
270,77.484243,3.424904
280,76.649701,3.399815
290,76.863011,3.410186
300,78.751949,3.402887
310,77.257386,3.392706
320,78.849025,3.41957
330,77.94245,3.41223
340,77.863321,3.436356
350,77.372521,3.414684
360,78.210074,3.411794
370,77.530948,3.418289
380,76.821428,3.401289
390,76.527071,3.404979
400,76.88619,3.423979
410,77.026393,3.394415
420,77.099756,3.338568
430,76.549567,3.370958
440,78.152625,3.344638
450,78.804013,3.335091
460,79.170953,3.310608
470,80.238219,3.299699
480,81.25261,3.297434
490,81.143191,3.331448
500,81.523772,3.288374
<<<< 
>>>>  amr_in-situ-unopt/pipe-5-00256/extracted_timings-e630855.csv 
%  ./pipe-5-00256   ./pipe-5-00256/extracted_timings-e630855.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  42.46598592 ,  37.383375 ,  48.596209 ,  3.8569466083498 
% PVSPY_VIZ_TIMINGS ,  2.62042462 ,  2.405383 ,  3.371488 ,  0.240669015026514 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,37.383375,2.449801
20,37.475368,2.448687
30,37.515688,2.472419
40,37.393533,2.454696
50,37.432526,2.450627
60,37.5692,2.444857
70,38.711363,2.448389
80,38.105194,2.429343
90,37.588582,2.437352
100,37.754021,2.443017
110,37.699906,2.425995
120,37.802701,2.525085
130,37.723929,2.438307
140,37.890035,2.449344
150,38.177878,2.433783
160,38.689618,2.405383
170,38.671611,2.449963
180,39.158719,2.419708
190,39.404525,2.429414
200,42.707482,2.627578
210,44.847697,2.61803
220,44.537137,2.609923
230,44.165687,2.600595
240,44.537608,2.580377
250,44.875537,2.574071
260,45.234778,2.575812
270,45.302321,2.570752
280,44.217132,2.598283
290,44.458052,2.573209
300,45.508314,2.613393
310,43.888722,2.56177
320,44.405022,2.552784
330,44.654501,2.592336
340,43.697061,2.571618
350,43.407459,2.566737
360,43.873086,2.587541
370,43.126513,2.564818
380,42.746319,2.569576
390,42.550119,2.570168
400,42.814225,2.558336
410,44.300609,3.371488
420,47.348878,3.173883
430,47.055349,3.182524
440,47.941348,3.157982
450,47.597261,3.173419
460,47.609345,3.094437
470,48.207006,3.008105
480,48.596209,2.829734
490,48.490505,2.666509
500,48.450242,2.669273
<<<< 
>>>>  amr_in-situ-unopt/pipe-5-00512/extracted_timings-e630856.csv 
%  ./pipe-5-00512   ./pipe-5-00512/extracted_timings-e630856.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  23.20254358 ,  20.14392 ,  29.394344 ,  2.62184576924368 
% PVSPY_VIZ_TIMINGS ,  1.93528568 ,  1.786033 ,  3.509793 ,  0.258338135461752 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,20.23178,1.951332
20,20.274467,1.988279
30,20.430927,1.9154
40,20.14392,2.233303
50,20.632788,2.299544
60,20.526196,1.977404
70,21.295973,1.928997
80,21.070124,1.873229
90,20.511686,1.86539
100,20.645776,1.896539
110,20.431526,1.883387
120,20.648023,1.898012
130,20.528782,1.878331
140,20.607304,1.880118
150,21.124056,1.871211
160,21.509822,1.84906
170,21.368606,1.839788
180,22.608008,1.847241
190,22.030869,1.869751
200,22.279804,1.818913
210,22.347285,1.814413
