week, user, cpu_hours, jobs, wait
20120730,Oldfield,0,0,0
20120806,Oldfield,33.297777777778,1,0.0094
20120813,Oldfield,310.12888888889,20,0.2061
20120820,Oldfield,12532.608888889,31,6.5661
20121008,Oldfield,42.208888888889,4,0.6897
20121015,Oldfield,7188.4933333333,26,25.2889
20121029,Oldfield,174436.44888889,52,19.5836
20121105,Oldfield,281458.56888889,28,62.4178
20121112,Oldfield,404651.39111111,44,129.7050
20121203,Oldfield,233335.43555556,58,17.3892
20121210,Oldfield,569921.97333333,81,273.3511
20121217,Oldfield,1275394.7822222,60,948.1753
20121224,Oldfield,1857298.4266667,118,2076.2558
20121231,Oldfield,1059017.4577778,18,1682.8681
20130107,Oldfield,643156.97777778,19,158.7067
20130114,Oldfield,910040.74666667,8,160.4617
20130121,Oldfield,722292.8,53,271.6853
20120730,Fabian,20.822222222222,1,0.0097
20120806,Fabian,0,0,0
20120813,Fabian,0,0,0
20120820,Fabian,20.635555555556,1,0.0117
20121008,Fabian,0,0,0
20121015,Fabian,0,0,0
20121029,Fabian,0,0,0
20121105,Fabian,40375.897777778,3,9.5558 
20121112,Fabian,8061.44,3,22.6642
20121203,Fabian,7125.8266666667,5,1.3508
20121210,Fabian,0,0,0
20121217,Fabian,1540.5911111111,5,0.4822
20121224,Fabian,0,0,0
20121231,Fabian,0,0,0
20130107,Fabian,0,0,0
20130114,Fabian,324085.61777778,39,131.3678
20130121,Fabian,477851.61777778,114,598.5581

