"cores","time","stddev","Experiment"

4096,9692.44832019177,NA,"In Situ (baseline)"
8192,7839.31088370383,347.534901357072,"In Situ (baseline)"
16384,6688.67554996849,96.9950320371455,"In Situ (baseline)"
32768,6597.51314860961,160.63529595189,"In Situ (baseline)"

4096,8043.94420075677,137.324446108234,"In Situ (refined)"
8192,5423.40853484583,266.270118069125,"In Situ (refined)"
16384,3624.95290941648,93.5546642177225,"In Situ (refined)"
32768,3412.19595489961,350.929043120661,"In Situ (refined)"

4096,7523.49213075177,188.593078829264,"In Transit (128 extra nodes)"
8192,5286.53182569597,240.552855935653,"In Transit (128 extra nodes)"
16384,5136.7641842645,223.129140084228,"In Transit (128 extra nodes)"
32768,5620.73580770859,367.778476990741,"In Transit (128 extra nodes)"

4096,11333.0520924698,277.305735839613,"In Transit (100 internal nodes)"
8192,5420.7496833474,234.955560141893,"In Transit (100 internal nodes)"
16384,5495.2369066745,173.99423481515,"In Transit (100 internal nodes)"
32768,5651.62809193859,104.220278556155,"In Transit (100 internal nodes)"

4096,10126.7998046875,NA,"Spyplot File"
8192,7325.8720703125,NA,"Spyplot File"
16384,7220.59252929688,190.12989586421,"Spyplot File"
32768,6295.41552734375,NA,"Spyplot File"
